library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"remove","2.10.0","",2018-05-12T16:12:19Z
org.apache.logging.log4jlog4j-api,"add","","2.10.0",2018-04-18T10:58:24Z
org.apache.logging.log4jlog4j-api,"remove","2.10.0","",2018-04-18T06:41:07Z
org.apache.logging.log4jlog4j-api,"add","","2.10.0",2018-04-17T22:02:02Z
org.apache.logging.log4jlog4j-api,"remove","2.10.0","",2018-04-17T19:24:33Z
org.apache.logging.log4jlog4j-api,"add","","2.10.0",2018-04-17T18:57:15Z
org.hibernatehibernate-commons-annotations,"remove","3.2.0.Final","",2018-05-12T15:38:05Z
org.hibernatehibernate-commons-annotations,"add","","3.2.0.Final",2018-04-18T06:41:07Z
org.hibernate.javax.persistencehibernate-jpa-2.0-api,"remove","1.0.1.Final","",2018-05-12T15:38:05Z
org.hibernate.javax.persistencehibernate-jpa-2.0-api,"add","","1.0.1.Final",2018-04-18T06:41:07Z
org.apache.lucenelucene-analyzers-morfologik,"add","","7.3.0",2018-04-23T16:50:33Z
org.antlrantlr,"remove","3.5.2","",2018-05-12T15:38:05Z
org.antlrantlr,"add","","3.5.2",2018-04-18T06:41:07Z
org.jbossjandex,"remove","2.0.5.Final","",2018-05-12T15:38:05Z
org.jbossjandex,"add","","2.0.5.Final",2018-04-18T06:41:07Z
io.datafxflow,"remove","8.0.1","",2018-05-14T12:08:16Z
io.datafxflow,"add","","8.0.1",2018-05-14T01:01:53Z
org.junit.jupiterjunit-jupiter-api,"add","","RELEASE",2018-05-06T20:15:39Z
log4jlog4j,"add","","1.2.17",2018-05-12T16:12:19Z
com.jfoenixjfoenix,"update","8.0.3","8.0.4",2018-05-12T23:06:08Z
com.jfoenixjfoenix,"add","","8.0.3",2018-04-18T10:58:24Z
com.jfoenixjfoenix,"remove","8.0.3","",2018-04-18T06:41:07Z
com.jfoenixjfoenix,"add","","8.0.3",2018-04-17T22:07:12Z
org.jboss.loggingjboss-logging,"add","","3.3.2.Final",2018-04-18T06:41:07Z
org.apache.lucenelucene-queryparser,"add","","7.3.0",2018-04-18T10:59:31Z
org.apache.lucenelucene-queryparser,"remove","7.3.0","",2018-04-17T22:02:02Z
org.apache.lucenelucene-queryparser,"add","","7.3.0",2018-04-17T19:24:33Z
mysqlmysql-connector-java,"remove","6.0.6","",2018-05-12T15:38:05Z
mysqlmysql-connector-java,"add","","6.0.6",2018-04-18T06:41:07Z
com.fasterxmlclassmate,"add","","1.3.1",2018-04-18T06:41:07Z
org.hibernatehibernate,"remove","3.5.4-Final","",2018-05-12T15:38:05Z
org.hibernatehibernate,"add","","3.5.4-Final",2018-04-18T06:41:07Z
org.apache.lucenelucene-core,"add","","7.3.0",2018-04-18T10:59:31Z
org.apache.lucenelucene-core,"remove","7.3.0","",2018-04-17T22:02:02Z
org.apache.lucenelucene-core,"add","","7.3.0",2018-04-17T19:24:33Z
org.hibernatehibernate-core,"remove","5.2.16.Final","",2018-05-12T15:38:05Z
org.hibernatehibernate-core,"add","","5.2.16.Final",2018-04-18T06:41:07Z
org.jboss.spec.javax.transactionjboss-transaction-api_1.2_spec,"remove","1.0.1.Final","",2018-05-12T15:38:05Z
org.jboss.spec.javax.transactionjboss-transaction-api_1.2_spec,"add","","1.0.1.Final",2018-04-18T06:41:07Z
dom4jdom4j,"remove","1.6.1","",2018-05-12T15:38:05Z
dom4jdom4j,"add","","1.6.1",2018-04-18T06:41:07Z
javassistjavassist,"remove","3.12.1.GA","",2018-05-12T15:38:05Z
javassistjavassist,"add","","3.12.1.GA",2018-04-18T06:41:07Z
org.apache.logging.log4jlog4j-core,"remove","2.10.0","",2018-05-12T16:12:19Z
org.apache.logging.log4jlog4j-core,"add","","2.10.0",2018-04-18T10:58:24Z
org.apache.logging.log4jlog4j-core,"remove","2.10.0","",2018-04-18T06:41:07Z
org.apache.logging.log4jlog4j-core,"add","","2.10.0",2018-04-17T22:02:02Z
org.apache.logging.log4jlog4j-core,"remove","2.10.0","",2018-04-17T19:24:33Z
org.apache.logging.log4jlog4j-core,"add","","2.10.0",2018-04-17T18:57:15Z
