library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","9.10.0","",2024-05-29T09:41:46Z
org.apache.lucenelucene-backward-codecs,"update","9.9.1","9.10.0",2024-05-15T20:27:39Z
org.apache.lucenelucene-backward-codecs,"add","","9.9.1",2023-12-27T13:25:22Z
org.apache.lucenelucene-analysis-common,"update","10.0.0","10.1.0",2025-01-23T20:45:05Z
org.apache.lucenelucene-analysis-common,"update","9.11.1","10.0.0",2024-10-15T13:29:50Z
org.apache.lucenelucene-analysis-common,"update","9.11.0","9.11.1",2024-07-06T23:29:59Z
org.apache.lucenelucene-analysis-common,"update","9.10.0","9.11.0",2024-06-10T12:55:10Z
org.apache.lucenelucene-analysis-common,"update","9.9.1","9.10.0",2024-05-15T20:27:39Z
net.sf.saxonSaxon-HE,"update","12.4","12.5",2024-11-13T14:44:48Z
javax.servlet.jspjavax.servlet.jsp-api,"add","","2.3.3",2023-12-27T13:25:22Z
org.apache.lucenelucene-highlighter,"update","10.0.0","10.1.0",2025-01-23T20:45:05Z
org.apache.lucenelucene-highlighter,"update","9.11.1","10.0.0",2024-10-15T13:29:50Z
org.apache.lucenelucene-highlighter,"update","9.11.0","9.11.1",2024-07-06T23:29:59Z
org.apache.lucenelucene-highlighter,"update","9.10.0","9.11.0",2024-06-10T12:55:10Z
org.apache.lucenelucene-highlighter,"update","9.9.1","9.10.0",2024-05-15T20:27:39Z
org.xerialsqlite-jdbc,"update","3.45.3.0","[3.47,)",2024-11-13T14:44:48Z
org.xerialsqlite-jdbc,"update","3.44.1.0","3.45.3.0",2024-05-15T20:27:39Z
org.xerialsqlite-jdbc,"add","","3.44.1.0",2023-12-27T13:25:22Z
org.apache.lucenelucene-core,"update","10.0.0","10.1.0",2025-01-23T20:45:05Z
org.apache.lucenelucene-core,"update","9.11.1","10.0.0",2024-10-15T13:29:50Z
org.apache.lucenelucene-core,"update","9.11.0","9.11.1",2024-07-06T23:29:59Z
org.apache.lucenelucene-core,"update","9.10.0","9.11.0",2024-06-10T12:55:10Z
org.apache.lucenelucene-core,"update","9.9.1","9.10.0",2024-05-15T20:27:39Z
org.jsonjson,"update","20231013","20240303",2024-05-15T20:27:39Z
org.jsonjson,"add","","20231013",2023-12-27T13:25:22Z
org.apache.lucenelucene-suggest,"remove","9.11.0","",2024-07-06T23:29:59Z
org.apache.lucenelucene-suggest,"add","","9.11.0",2024-06-26T21:37:43Z
javax.servletjavax.servlet-api,"add","","4.0.1",2023-12-27T13:25:22Z
junitjunit,"update","4.11","4.13.1",2023-12-27T13:25:22Z
info.picoclipicocli,"update","4.7.5","[4.7,)",2024-11-13T14:44:48Z
org.apache.lucenelucene-test-framework,"update","10.0.0","10.1.0",2025-01-23T20:45:05Z
org.apache.lucenelucene-test-framework,"update","9.11.1","10.0.0",2024-10-15T13:29:50Z
org.apache.lucenelucene-test-framework,"update","9.11.0","9.11.1",2024-07-06T23:29:59Z
org.apache.lucenelucene-test-framework,"add","","9.11.0",2024-06-15T21:29:05Z
