library,type,old_version,new_version,commit_date
com.orientechnologiesorientdb-core,"update","2.0-M3","${version}",2015-10-04T11:55:53Z
com.orientechnologiesorientdb-core,"update","2.0-SNAPSHOT","2.0-M3",2014-11-18T17:53:50Z
com.orientechnologiesorientdb-core,"update","2.0-M2-SNAPSHOT","2.0-SNAPSHOT",2014-10-02T17:05:21Z
com.orientechnologiesorientdb-core,"update","2.0-SNAPSHOT","2.0-M2-SNAPSHOT",2014-09-23T08:44:02Z
com.orientechnologiesorientdb-core,"update","1.7.9-SNAPSHOT","2.0-SNAPSHOT",2014-09-11T09:53:14Z
com.orientechnologiesorientdb-core,"update","2.0-SNAPSHOT","1.7.9-SNAPSHOT",2014-09-03T10:52:35Z
com.orientechnologiesorientdb-core,"update","1.7.4","2.0-SNAPSHOT",2014-09-03T08:26:45Z
com.orientechnologiesorientdb-core,"update","1.7.4-SNAPSHOT","1.7.4",2014-06-30T14:25:01Z
com.orientechnologiesorientdb-core,"update","1.7","1.7.4-SNAPSHOT",2014-06-16T07:24:49Z
com.orientechnologiesorientdb-core,"update","1.7-SNAPSHOT","1.7",2014-05-27T08:05:42Z
com.orientechnologiesorientdb-core,"update","1.7-rc2-SNAPSHOT","1.7-SNAPSHOT",2014-04-07T20:10:50Z
com.orientechnologiesorient-commons,"remove","2.0-M2-SNAPSHOT","",2014-10-02T17:05:21Z
com.orientechnologiesorient-commons,"update","2.0-SNAPSHOT","2.0-M2-SNAPSHOT",2014-09-23T08:44:02Z
com.orientechnologiesorient-commons,"update","1.7.9-SNAPSHOT","2.0-SNAPSHOT",2014-09-11T09:53:14Z
com.orientechnologiesorient-commons,"update","2.0-SNAPSHOT","1.7.9-SNAPSHOT",2014-09-03T10:52:35Z
com.orientechnologiesorient-commons,"update","1.7.4","2.0-SNAPSHOT",2014-09-03T08:26:45Z
com.orientechnologiesorient-commons,"update","1.7.4-SNAPSHOT","1.7.4",2014-06-30T14:25:01Z
com.orientechnologiesorient-commons,"update","1.7","1.7.4-SNAPSHOT",2014-06-16T07:24:49Z
com.orientechnologiesorient-commons,"update","1.7-SNAPSHOT","1.7",2014-05-27T08:05:42Z
com.orientechnologiesorient-commons,"update","1.7-rc2-SNAPSHOT","1.7-SNAPSHOT",2014-04-07T20:10:50Z
org.jrubyjruby-complete,"remove","1.7.15","",2015-10-04T11:55:53Z
org.jrubyjruby-complete,"add","","1.7.15",2014-09-23T08:44:02Z
com.orientechnologiesorientdb-tests,"remove","2.0-M2-SNAPSHOT","",2014-10-02T17:05:21Z
com.orientechnologiesorientdb-tests,"update","2.0-SNAPSHOT","2.0-M2-SNAPSHOT",2014-09-23T08:44:02Z
com.orientechnologiesorientdb-tests,"add","","2.0-SNAPSHOT",2014-09-19T12:37:06Z
com.orientechnologiesorientdb-tests,"remove","1.7","",2014-05-27T09:40:33Z
com.orientechnologiesorientdb-tests,"update","1.7-SNAPSHOT","1.7",2014-05-27T08:05:42Z
com.orientechnologiesorientdb-tests,"add","","1.7-SNAPSHOT",2014-04-07T20:10:50Z
com.orientechnologiesorientdb-client,"update","2.0-M3","${version}",2015-10-04T11:55:53Z
com.orientechnologiesorientdb-client,"update","2.0-SNAPSHOT","2.0-M3",2014-11-18T17:53:50Z
com.orientechnologiesorientdb-client,"update","2.0-M2-SNAPSHOT","2.0-SNAPSHOT",2014-10-02T17:05:21Z
