library,type,old_version,new_version,commit_date
org.springframeworkspring-webmvc,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.springframeworkspring-core,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.apache.lucenelucene-highlighter,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.springframeworkspring-jdbc,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.springframeworkspring-test,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.springframeworkspring-aop,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.jsoupjsoup,"update","1.8.1","1.14.2",2021-08-23T20:53:03Z
org.apache.lucenelucene-queryparser,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.springframeworkspring-orm,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.apache.lucenelucene-queries,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.apache.lucenelucene-core,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.springframeworkspring-web,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
org.apache.lucenelucene-memory,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.apache.lucenelucene-analyzers-common,"update","4.8.0","7.5.0",2018-10-17T23:57:04Z
org.springframeworkspring-context-support,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
junitjunit,"update","4.12","4.13.1",2020-10-13T04:54:51Z
org.springframeworkspring-tx,"update","4.0.2.RELEASE","5.1.0.RELEASE",2018-10-17T23:50:47Z
