library,type,old_version,new_version,commit_date
edu.stanford.protegecsv-export-plugin,"remove","1.0.0-SNAPSHOT","",2016-08-30T18:17:16Z
edu.stanford.protegecsv-export-plugin,"add","","1.0.0-SNAPSHOT",2016-08-29T19:48:12Z
commons-codeccommons-codec,"add","","1.10",2016-08-17T17:28:42Z
commons-codeccommons-codec,"remove","1.10","",2016-08-02T22:47:02Z
commons-codeccommons-codec,"add","","1.10",2016-07-10T08:32:16Z
ch.qos.logbacklogback-core,"add","","1.1.3",2016-06-20T17:56:46Z
ch.qos.logbacklogback-core,"remove","1.1.3","",2016-06-17T19:02:24Z
net.sourceforge.owlapiowlapi-osgidistribution,"remove","4.1.3","",2016-06-17T19:02:24Z
org.apache.lucenelucene-queryparser,"update","5.3.1","5.4.1",2016-02-17T00:56:20Z
org.apache.maven.scmmaven-scm-provider-gitexe,"update","1.9","1.9.4",2016-06-20T17:56:46Z
org.apache.maven.scmmaven-scm-provider-gitexe,"add","","1.9",2016-02-17T00:56:20Z
org.apache.lucenelucene-core,"update","5.3.1","5.4.1",2016-02-17T00:56:20Z
org.apache.lucenelucene-analyzers-phonetic,"update","5.3.1","5.4.1",2016-02-17T00:56:20Z
org.hamcresthamcrest-all,"remove","1.3","",2016-08-30T18:17:16Z
org.hamcresthamcrest-all,"add","","1.3",2016-07-06T23:48:05Z
net.sourceforge.owlapibinaryowl,"add","","2.0.0",2016-09-29T00:10:16Z
ch.qos.logbacklogback-classic,"add","","1.1.3",2016-06-20T17:56:46Z
ch.qos.logbacklogback-classic,"remove","1.1.3","",2016-06-17T19:02:24Z
org.apache.lucenelucene-analyzers-common,"update","5.3.1","5.4.1",2016-02-17T00:56:20Z
org.imgscalrimgscalr-lib,"remove","4.2","",2016-08-30T18:17:16Z
org.imgscalrimgscalr-lib,"add","","4.2",2016-08-02T22:47:02Z
edu.stanford.protegeprotege-editor-core,"update","5.0.0-beta-22-SNAPSHOT","5.0.1-SNAPSHOT",2016-06-17T19:02:24Z
org.mockitomockito-core,"remove","1.9.5","",2016-08-30T18:17:16Z
org.mockitomockito-core,"add","","1.9.5",2016-07-06T23:48:05Z
junitjunit,"remove","4.11","",2016-08-30T18:17:16Z
junitjunit,"add","","4.11",2016-07-06T23:48:05Z
edu.stanford.protegeprotege-editor-owl,"update","5.0.0-beta-22-SNAPSHOT","5.0.1-SNAPSHOT",2016-06-17T19:02:24Z
edu.stanford.protegeprotege-common,"remove","5.0.1-SNAPSHOT","",2016-08-30T18:17:16Z
edu.stanford.protegeprotege-common,"update","5.0.0-beta-22-SNAPSHOT","5.0.1-SNAPSHOT",2016-06-17T19:02:24Z
