library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"update","8.11.3","9.8.0",2025-01-27T17:23:36Z
org.apache.solrsolr-solrj,"update","7.4.0","8.11.3",2024-12-06T03:23:03Z
org.apache.solrsolr-solrj,"update","7.1.0","7.4.0",2018-10-18T02:22:37Z
org.apache.solrsolr-solrj,"update","5.4.1","7.1.0",2018-10-18T02:19:06Z
org.apache.lucenelucene-core,"update","8.11.3","9.8.0",2025-01-27T17:23:36Z
org.apache.lucenelucene-core,"update","7.4.0","8.11.3",2024-12-06T03:23:03Z
org.apache.lucenelucene-core,"update","7.1.0","7.4.0",2018-10-18T02:22:37Z
org.apache.lucenelucene-core,"update","5.4.1","7.1.0",2018-10-18T02:19:06Z
org.apache.solrsolr-core,"update","8.11.3","9.8.0",2025-01-27T17:23:36Z
org.apache.solrsolr-core,"update","7.4.0","8.11.3",2024-12-06T03:23:03Z
org.apache.solrsolr-core,"update","7.1.0","7.4.0",2018-10-18T02:22:37Z
org.apache.solrsolr-core,"update","5.4.1","7.1.0",2018-10-18T02:19:06Z
org.apache.lucenelucene-queryparser,"update","8.11.3","9.8.0",2025-01-27T17:23:36Z
org.apache.lucenelucene-queryparser,"update","7.4.0","8.11.3",2024-12-06T03:23:03Z
org.apache.lucenelucene-queryparser,"update","7.1.0","7.4.0",2018-10-18T02:22:37Z
org.apache.lucenelucene-queryparser,"update","5.4.1","7.1.0",2018-10-18T02:19:06Z
mysqlmysql-connector-java,"update","5.1.9","8.0.28",2022-06-20T22:58:36Z
