library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"update","9.7.0","9.8.0",2023-09-29T09:42:48Z
org.apache.lucenelucene-analysis-common,"update","9.6.0","9.7.0",2023-06-26T16:57:25Z
org.apache.lucenelucene-analysis-common,"update","9.5.0","9.6.0",2023-05-09T16:57:04Z
org.apache.lucenelucene-analysis-common,"add","","9.5.0",2023-04-24T20:15:04Z
org.apache.lucenelucene-core,"update","9.7.0","9.8.0",2023-09-29T09:42:48Z
org.apache.lucenelucene-core,"update","9.6.0","9.7.0",2023-06-26T16:57:25Z
org.apache.lucenelucene-core,"update","9.5.0","9.6.0",2023-05-09T16:57:04Z
org.apache.lucenelucene-core,"update","8.11.2","9.5.0",2023-04-24T20:15:04Z
org.apache.lucenelucene-core,"update","8.9.0","8.11.2",2023-04-18T16:30:47Z
org.apache.lucenelucene-core,"update","8.11.2","8.9.0",2022-12-09T16:01:46Z
org.apache.lucenelucene-core,"update","8.9.0","8.11.2",2022-06-20T16:09:20Z
org.apache.lucenelucene-core,"update","8.7.0","8.9.0",2021-08-16T07:52:26Z
io.quarkusquarkus-bom,"update","3.4.2","3.4.3",2023-10-12T17:06:17Z
io.quarkusquarkus-bom,"update","3.4.1","3.4.2",2023-10-04T16:01:59Z
io.quarkusquarkus-bom,"update","3.4.0","3.4.1",2023-09-20T16:33:41Z
io.quarkusquarkus-bom,"update","3.3.2","3.4.0",2023-09-15T09:08:33Z
io.quarkusquarkus-bom,"update","3.4.0","3.3.2",2023-09-14T10:11:11Z
io.quarkusquarkus-bom,"update","3.3.2","3.4.0",2023-09-13T16:24:31Z
io.quarkusquarkus-bom,"update","3.3.0","3.3.2",2023-09-05T17:07:34Z
io.quarkusquarkus-bom,"update","3.2.4.Final","3.3.0",2023-08-16T16:13:53Z
io.quarkusquarkus-bom,"update","3.2.3.Final","3.2.4.Final",2023-08-11T16:08:30Z
io.quarkusquarkus-bom,"update","3.2.0.Final","3.2.3.Final",2023-08-02T16:52:48Z
io.quarkusquarkus-bom,"update","3.1.2.Final","3.2.0.Final",2023-06-29T16:26:58Z
io.quarkusquarkus-bom,"update","3.1.1.Final","3.1.2.Final",2023-06-15T16:57:04Z
io.quarkusquarkus-bom,"update","3.1.0.Final","3.1.1.Final",2023-06-12T16:57:38Z
io.quarkusquarkus-bom,"update","3.1.1.Final","3.1.0.Final",2023-06-10T07:25:48Z
io.quarkusquarkus-bom,"update","3.1.0.Final","3.1.1.Final",2023-06-09T20:55:05Z
io.quarkusquarkus-bom,"update","3.1.1.Final","3.1.0.Final",2023-06-07T16:57:13Z
io.quarkusquarkus-bom,"update","3.1.0.Final","3.1.1.Final",2023-06-07T16:57:07Z
io.quarkusquarkus-bom,"update","3.0.3.Final","3.1.0.Final",2023-05-24T16:57:16Z
io.quarkusquarkus-bom,"update","3.0.2.Final","3.0.3.Final",2023-05-13T11:39:50Z
io.quarkusquarkus-bom,"update","3.0.1.Final","3.0.2.Final",2023-05-03T16:57:10Z
io.quarkusquarkus-bom,"update","3.0.0.Final","3.0.1.Final",2023-04-26T16:57:07Z
io.quarkusquarkus-bom,"update","2.16.6.Final","3.0.0.Final",2023-04-24T07:54:37Z
io.quarkusquarkus-bom,"update","3.0.0.Final","2.16.6.Final",2023-04-19T14:18:06Z
io.quarkusquarkus-bom,"update","2.16.6.Final","3.0.0.Final",2023-04-19T14:15:27Z
io.quarkusquarkus-bom,"update","2.16.3.Final","2.16.6.Final",2023-04-18T19:28:07Z
io.quarkusquarkus-bom,"update","2.2.1.Final","2.16.3.Final",2023-04-18T16:31:49Z
io.quarkusquarkus-bom,"update","2.16.3.Final","2.2.1.Final",2023-04-18T16:30:47Z
io.quarkusquarkus-bom,"update","2.2.1.Final","2.16.3.Final",2023-02-16T16:57:46Z
io.quarkusquarkus-bom,"update","2.1.2.Final","2.2.1.Final",2021-08-31T16:07:05Z
io.quarkusquarkus-bom,"update","2.1.0.Final","2.1.2.Final",2021-08-11T16:08:21Z
io.quarkusquarkus-bom,"update","1.13.5.Final","2.1.0.Final",2021-07-22T16:05:17Z
io.quarkusquarkus-bom,"update","1.13.3.Final","1.13.5.Final",2021-05-27T06:26:40Z
io.quarkusquarkus-bom,"update","1.13.2.Final","1.13.3.Final",2021-04-29T07:23:08Z
io.quarkusquarkus-bom,"update","1.13.0.Final","1.13.2.Final",2021-04-15T07:26:52Z
io.quarkusquarkus-bom,"update","1.12.2.Final","1.13.0.Final",2021-03-25T06:37:18Z
io.quarkusquarkus-bom,"update","1.12.1.Final","1.12.2.Final",2021-03-12T07:14:10Z
io.quarkusquarkus-bom,"update","1.12.0.Final","1.12.1.Final",2021-03-04T07:23:13Z
org.apache.lucenelucene-memory,"update","9.7.0","9.8.0",2023-09-29T09:42:48Z
org.apache.lucenelucene-memory,"update","9.6.0","9.7.0",2023-06-26T16:57:25Z
org.apache.lucenelucene-memory,"update","9.5.0","9.6.0",2023-05-09T16:57:04Z
org.apache.lucenelucene-memory,"update","8.11.2","9.5.0",2023-04-24T20:15:04Z
org.apache.lucenelucene-memory,"add","","8.11.2",2023-04-24T07:54:37Z
org.apache.lucenelucene-memory,"remove","8.11.2","",2023-04-20T16:57:00Z
org.apache.lucenelucene-memory,"add","","8.11.2",2023-04-19T14:18:06Z
org.apache.lucenelucene-analyzers-common,"remove","8.11.2","",2023-04-24T20:15:04Z
org.apache.lucenelucene-analyzers-common,"update","8.9.0","8.11.2",2023-04-18T16:30:47Z
org.apache.lucenelucene-analyzers-common,"update","8.11.2","8.9.0",2022-12-09T16:01:46Z
org.apache.lucenelucene-analyzers-common,"update","8.9.0","8.11.2",2022-06-20T16:09:20Z
org.apache.lucenelucene-analyzers-common,"update","8.7.0","8.9.0",2021-08-16T07:52:26Z
org.apache.lucenelucene-queryparser,"update","9.7.0","9.8.0",2023-09-29T09:42:48Z
org.apache.lucenelucene-queryparser,"update","9.6.0","9.7.0",2023-06-26T16:57:25Z
org.apache.lucenelucene-queryparser,"update","9.5.0","9.6.0",2023-05-09T16:57:04Z
org.apache.lucenelucene-queryparser,"update","8.11.2","9.5.0",2023-04-24T20:15:04Z
org.apache.lucenelucene-queryparser,"update","8.9.0","8.11.2",2023-04-18T16:30:47Z
org.apache.lucenelucene-queryparser,"update","8.11.2","8.9.0",2022-12-09T16:01:46Z
org.apache.lucenelucene-queryparser,"update","8.9.0","8.11.2",2022-06-20T16:09:20Z
org.apache.lucenelucene-queryparser,"update","8.7.0","8.9.0",2021-08-16T07:52:26Z
