library,type,old_version,new_version,commit_date
org.querqyquerqy-lucene,"update","5.7.lucene942.0","5.7.lucene961.0",2024-08-28T18:16:27Z
org.querqyquerqy-lucene,"update","5.7.lucene942.0","5.7.lucene961.0",2024-08-26T22:01:06Z
org.querqyquerqy-lucene,"update","5.7.lucene961.0","5.7.lucene942.0",2024-07-08T15:49:49Z
org.querqyquerqy-lucene,"update","5.5.lucene900.1","5.7.lucene942.0",2024-04-09T14:20:01Z
org.querqyquerqy-lucene,"update","5.4.lucene900.1","5.5.lucene900.1",2022-12-21T13:01:12Z
org.querqyquerqy-lucene,"update","5.4.lucene900.0","5.4.lucene900.1",2022-09-22T15:45:54Z
org.querqyquerqy-lucene,"update","5.2.lucene810.0","5.4.lucene900.0",2022-08-29T16:24:21Z
org.querqyquerqy-lucene,"update","5.1.lucene810.0","5.2.lucene810.0",2021-08-30T12:37:12Z
org.elasticsearch.testframework,"update","8.15.0","8.17.1",2025-01-27T13:49:14Z
org.elasticsearch.testframework,"update","8.14.2","8.15.0",2024-08-28T20:18:02Z
org.elasticsearch.testframework,"update","8.11.4","8.15.0",2024-08-26T22:01:06Z
org.elasticsearch.testframework,"update","8.15.0","8.14.2",2024-07-08T15:49:49Z
org.elasticsearch.testframework,"update","8.9.2","8.11.4",2024-04-09T14:20:01Z
org.elasticsearch.testframework,"update","8.5.3","8.9.2",2024-02-13T18:25:04Z
org.elasticsearch.testframework,"update","${es.major.version}.${es.minor.version}.${es.bugfix.version}","8.5.3",2022-12-12T15:00:39Z
org.assertjassertj-core,"update","3.26.0","3.27.2",2025-01-06T15:45:42Z
org.assertjassertj-core,"update","3.25.3","3.26.0",2024-05-27T15:28:19Z
org.assertjassertj-core,"update","3.24.2","3.25.3",2024-03-18T15:04:47Z
org.assertjassertj-core,"update","3.23.1","3.24.2",2023-07-10T15:09:34Z
org.assertjassertj-core,"update","3.24.2","3.23.1",2023-02-27T15:56:42Z
org.assertjassertj-core,"update","3.23.1","3.24.2",2023-01-23T15:00:37Z
org.assertjassertj-core,"update","3.15.0","3.23.1",2022-09-22T15:46:00Z
org.locationtech.jtsjts-core,"update","1.15.0","1.19.0",2022-09-22T15:45:52Z
com.jayway.jsonpathjson-path,"add","","2.7.0",2022-12-21T13:26:32Z
org.locationtech.spatial4jspatial4j,"update","0.7","0.8",2022-09-22T15:57:15Z
org.elasticsearchelasticsearch,"update","8.15.0","8.17.1",2025-01-27T13:49:14Z
org.elasticsearchelasticsearch,"update","8.14.2","8.15.0",2024-08-28T20:18:02Z
org.elasticsearchelasticsearch,"update","8.11.4","8.15.0",2024-08-26T22:01:06Z
org.elasticsearchelasticsearch,"update","8.15.0","8.14.2",2024-07-08T15:49:49Z
org.elasticsearchelasticsearch,"update","8.9.2","8.11.4",2024-04-09T14:20:01Z
org.elasticsearchelasticsearch,"update","8.5.3","8.9.2",2024-02-13T18:25:04Z
org.elasticsearchelasticsearch,"update","${es.major.version}.${es.minor.version}.${es.bugfix.version}","8.5.3",2022-12-12T15:00:39Z
org.apache.logging.log4jlog4j-core,"remove","2.17.0","",2022-08-30T09:15:30Z
org.apache.logging.log4jlog4j-core,"update","2.11.1","2.17.0",2021-12-21T11:09:24Z
