library,type,old_version,new_version,commit_date
org.assertjassertj-core,"update","3.26.3","3.27.3",2025-01-20T14:54:59Z
org.assertjassertj-core,"update","3.26.0","3.26.3",2024-08-26T14:24:10Z
org.assertjassertj-core,"update","3.25.3","3.26.0",2024-05-27T14:07:37Z
org.assertjassertj-core,"update","3.25.1","3.25.3",2024-02-05T14:30:59Z
org.assertjassertj-core,"update","3.24.2","3.25.1",2024-01-08T14:35:46Z
org.assertjassertj-core,"update","3.24.1","3.24.2",2023-01-23T14:03:43Z
org.assertjassertj-core,"update","3.23.1","3.24.1",2023-01-09T14:03:25Z
org.assertjassertj-core,"update","3.22.0","3.23.1",2022-06-06T14:10:36Z
org.assertjassertj-core,"update","3.21.0","3.22.0",2022-01-03T14:10:21Z
org.assertjassertj-core,"update","3.20.2","3.21.0",2021-09-20T14:09:53Z
org.assertjassertj-core,"update","3.15.0","3.20.2",2021-09-15T19:28:05Z
com.fasterxml.jackson.corejackson-databind,"update","2.14.2","2.18.2",2025-02-03T18:42:14Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.2.2","2.14.2",2023-04-21T15:25:53Z
com.fasterxml.jackson.corejackson-databind,"update","2.13.2","2.13.2.2",2022-06-18T18:10:07Z
com.fasterxml.jackson.corejackson-databind,"update","2.9.9","2.13.2",2022-05-25T18:23:35Z
com.jayway.jsonpathjson-path,"update","2.7.0","2.9.0",2025-02-03T18:42:14Z
com.jayway.jsonpathjson-path,"update","2.4.0","2.7.0",2023-04-21T15:25:53Z
org.hamcresthamcrest,"update","2.2","3.0",2025-02-03T18:42:14Z
org.hamcresthamcrest,"update","2.1","2.2",2021-09-15T19:27:55Z
org.projectlomboklombok,"update","1.18.30","1.18.36",2025-02-03T18:42:14Z
org.projectlomboklombok,"update","1.18.28","1.18.30",2024-08-21T17:26:24Z
org.projectlomboklombok,"update","1.18.26","1.18.28",2023-05-29T14:57:42Z
org.projectlomboklombok,"update","1.18.24","1.18.26",2023-04-21T15:25:53Z
org.projectlomboklombok,"update","1.18.22","1.18.24",2022-05-30T16:19:14Z
org.projectlomboklombok,"update","1.18.24","1.18.22",2022-05-25T18:23:35Z
org.projectlomboklombok,"update","1.18.22","1.18.24",2022-04-18T14:12:19Z
org.projectlomboklombok,"update","1.18.20","1.18.22",2021-10-11T14:10:19Z
org.projectlomboklombok,"update","1.18.16","1.18.20",2021-09-15T19:27:58Z
org.mockitomockito-core,"update","5.14.2","5.15.2",2025-02-03T18:42:14Z
org.mockitomockito-core,"update","5.14.1","5.14.2",2024-10-21T14:04:02Z
org.mockitomockito-core,"update","5.12.0","5.14.1",2024-09-30T14:41:39Z
org.mockitomockito-core,"update","5.11.0","5.12.0",2024-05-13T14:31:32Z
org.mockitomockito-core,"update","5.6.0","5.11.0",2024-03-04T14:35:23Z
org.mockitomockito-core,"update","5.4.0","5.6.0",2023-10-09T14:18:18Z
org.mockitomockito-core,"update","5.1.1","5.4.0",2023-06-19T14:58:08Z
org.mockitomockito-core,"update","5.1.0","5.1.1",2023-02-06T14:03:49Z
org.mockitomockito-core,"update","5.0.0","5.1.0",2023-01-30T14:05:05Z
org.mockitomockito-core,"update","4.11.0","5.0.0",2023-01-16T14:03:43Z
org.mockitomockito-core,"update","4.9.0","4.11.0",2023-01-02T14:05:09Z
org.mockitomockito-core,"update","4.8.1","4.9.0",2022-11-28T14:02:40Z
org.mockitomockito-core,"update","4.8.0","4.8.1",2022-10-24T14:16:31Z
org.mockitomockito-core,"update","4.6.1","4.8.0",2022-09-12T14:16:28Z
org.mockitomockito-core,"update","4.5.1","4.6.1",2022-06-06T14:10:32Z
org.mockitomockito-core,"update","4.4.0","4.5.1",2022-05-30T16:19:14Z
org.mockitomockito-core,"update","4.5.1","4.4.0",2022-05-25T18:23:35Z
org.mockitomockito-core,"update","4.4.0","4.5.1",2022-04-25T14:13:06Z
org.mockitomockito-core,"update","4.3.1","4.4.0",2022-03-14T14:14:14Z
org.mockitomockito-core,"update","4.3.0","4.3.1",2022-01-31T14:15:04Z
org.mockitomockito-core,"update","4.2.0","4.3.0",2022-01-24T14:11:41Z
org.mockitomockito-core,"update","4.1.0","4.2.0",2021-12-20T14:08:44Z
org.mockitomockito-core,"update","4.0.0","4.1.0",2021-11-22T14:09:49Z
org.mockitomockito-core,"update","3.12.4","4.0.0",2021-10-11T14:10:14Z
org.mockitomockito-core,"update","3.7.7","3.12.4",2021-09-15T19:52:19Z
junitjunit,"update","4.13.1","4.13.2",2021-09-15T19:59:32Z
