library,type,old_version,new_version,commit_date
org.assertjassertj-core,"update","3.26.0","3.26.3",2024-08-28T12:29:29Z
org.assertjassertj-core,"update","3.26.3","3.26.0",2024-08-26T14:10:24Z
org.assertjassertj-core,"update","3.26.0","3.26.3",2024-08-26T14:10:20Z
org.assertjassertj-core,"update","3.25.3","3.26.0",2024-05-27T14:01:36Z
org.assertjassertj-core,"update","3.24.2","3.25.3",2024-02-05T14:36:18Z
org.assertjassertj-core,"update","3.23.1","3.24.2",2023-01-23T14:03:53Z
org.assertjassertj-core,"update","3.22.0","3.23.1",2022-06-06T14:10:57Z
org.mockitomockito-core,"update","5.14.1","5.14.2",2024-10-21T14:46:42Z
org.mockitomockito-core,"update","5.12.0","5.14.1",2024-09-30T14:43:02Z
org.mockitomockito-core,"update","5.11.0","5.12.0",2024-05-13T14:25:10Z
org.mockitomockito-core,"update","5.6.0","5.11.0",2024-03-04T14:38:11Z
org.mockitomockito-core,"update","5.4.0","5.6.0",2023-10-09T14:01:52Z
org.mockitomockito-core,"update","5.1.1","5.4.0",2023-06-19T14:57:26Z
org.mockitomockito-core,"update","5.1.0","5.1.1",2023-02-06T14:03:56Z
org.mockitomockito-core,"update","5.0.0","5.1.0",2023-01-30T14:05:04Z
org.mockitomockito-core,"update","4.11.0","5.0.0",2023-01-16T14:03:52Z
org.mockitomockito-core,"update","4.9.0","4.11.0",2023-01-02T14:05:22Z
org.mockitomockito-core,"update","4.8.0","4.9.0",2022-11-28T14:03:11Z
org.mockitomockito-core,"update","4.6.1","4.8.0",2022-09-12T14:16:54Z
org.mockitomockito-core,"update","4.5.1","4.6.1",2022-06-06T14:10:42Z
