library,type,old_version,new_version,commit_date
org.slf4jslf4j-reload4j,"remove","1.7.36","",2023-04-22T20:01:29Z
org.slf4jslf4j-reload4j,"update","1.7.35","1.7.36",2022-05-25T18:23:35Z
org.slf4jslf4j-reload4j,"add","","1.7.35",2022-05-16T12:06:49Z
org.apache.logging.log4jlog4j-api,"add","","2.20.0",2023-04-22T20:01:29Z
commons-iocommons-io,"add","","${commons.io.version}",2022-05-31T17:40:07Z
commons-iocommons-io,"remove","${commons.io.version}","",2022-05-16T12:06:49Z
org.slf4jslf4j-log4j12,"remove","1.7.26","",2022-05-16T12:06:49Z
org.slf4jslf4j-log4j12,"update","${slf4j.version}","1.7.26",2021-12-29T18:22:00Z
org.apache.solrsolr-core,"update","9.4.0","9.6.1",2024-08-21T17:26:24Z
org.apache.solrsolr-core,"update","9.2.0","9.4.0",2023-11-06T21:45:51Z
org.apache.solrsolr-core,"update","${lucene.version}","9.2.0",2023-03-30T08:55:31Z
org.testcontainerstestcontainers,"update","1.20.3","1.20.4",2025-01-31T16:11:57Z
org.testcontainerstestcontainers,"update","1.20.2","1.20.3",2024-10-28T14:23:42Z
org.testcontainerstestcontainers,"update","1.20.1","1.20.2",2024-10-07T14:15:06Z
org.testcontainerstestcontainers,"update","1.19.7","1.20.1",2024-08-26T14:20:12Z
org.testcontainerstestcontainers,"update","1.19.1","1.19.7",2024-04-08T14:52:32Z
org.testcontainerstestcontainers,"update","1.18.3","1.19.1",2023-10-09T14:35:54Z
org.testcontainerstestcontainers,"update","1.17.6","1.18.3",2023-06-05T14:57:41Z
org.testcontainerstestcontainers,"update","1.17.5","1.17.6",2022-11-28T14:02:50Z
org.testcontainerstestcontainers,"update","1.17.4","1.17.5",2022-10-10T15:08:54Z
org.testcontainerstestcontainers,"update","1.17.3","1.17.4",2022-10-03T14:14:58Z
org.testcontainerstestcontainers,"update","1.17.2","1.17.3",2022-07-04T14:16:17Z
org.testcontainerstestcontainers,"update","1.17.1","1.17.2",2022-06-06T14:10:37Z
org.testcontainerstestcontainers,"update","1.16.3","1.17.1",2022-04-18T14:12:25Z
org.testcontainerstestcontainers,"update","1.16.2","1.16.3",2022-01-24T14:11:43Z
org.testcontainerstestcontainers,"update","${testcontainers.version}","1.16.2",2021-12-29T18:22:00Z
org.testcontainerstestcontainers,"add","","${testcontainers.version}",2021-01-27T09:07:36Z
org.slf4jslf4j-api,"update","1.7.36","2.0.7",2023-04-22T20:01:29Z
org.slf4jslf4j-api,"update","1.7.35","1.7.36",2022-05-25T18:23:35Z
org.slf4jslf4j-api,"update","1.7.26","1.7.35",2022-05-16T12:06:49Z
org.slf4jslf4j-api,"update","${slf4j.version}","1.7.26",2021-12-29T18:22:00Z
org.apache.solrsolr-test-framework,"update","9.4.0","9.6.1",2024-08-21T17:26:24Z
org.apache.solrsolr-test-framework,"update","9.2.0","9.4.0",2023-11-06T21:45:51Z
org.apache.solrsolr-test-framework,"update","${lucene.version}","9.2.0",2023-03-30T08:55:31Z
org.apache.logging.log4jlog4j-slf4j-impl,"add","","2.20.0",2023-04-22T20:01:29Z
org.apache.logging.log4jlog4j-core,"add","","2.20.0",2023-04-22T20:01:29Z
net.minidevjson-smart,"update","2.4.8","2.4.10",2023-04-22T20:01:29Z
net.minidevjson-smart,"update","2.3","2.4.8",2022-06-18T17:31:07Z
net.minidevjson-smart,"update","${minidev.json-smart.version}","2.3",2021-12-29T18:22:00Z
org.testcontainerssolr,"update","1.20.3","1.20.4",2025-01-31T16:11:57Z
org.testcontainerssolr,"update","1.20.2","1.20.3",2024-10-28T14:23:42Z
org.testcontainerssolr,"update","1.20.1","1.20.2",2024-10-07T14:15:06Z
org.testcontainerssolr,"update","1.19.7","1.20.1",2024-08-26T14:20:12Z
org.testcontainerssolr,"update","1.19.1","1.19.7",2024-04-08T14:52:32Z
org.testcontainerssolr,"update","1.18.3","1.19.1",2023-10-09T14:35:54Z
org.testcontainerssolr,"update","1.17.6","1.18.3",2023-06-05T14:57:41Z
org.testcontainerssolr,"update","1.17.5","1.17.6",2022-11-28T14:02:50Z
org.testcontainerssolr,"update","1.17.4","1.17.5",2022-10-10T15:08:54Z
org.testcontainerssolr,"update","1.17.3","1.17.4",2022-10-03T14:14:58Z
org.testcontainerssolr,"update","1.17.2","1.17.3",2022-07-04T14:16:17Z
org.testcontainerssolr,"update","1.17.1","1.17.2",2022-06-06T14:10:37Z
org.testcontainerssolr,"update","1.16.3","1.17.1",2022-04-18T14:12:25Z
org.testcontainerssolr,"update","1.16.2","1.16.3",2022-01-24T14:11:43Z
org.testcontainerssolr,"update","${testcontainers.version}","1.16.2",2021-12-29T18:22:00Z
org.testcontainerssolr,"add","","${testcontainers.version}",2021-01-27T09:07:36Z
