library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","8.10.1","",2022-04-01T10:58:05Z
org.apache.lucenelucene-backward-codecs,"update","8.9.0","8.10.1",2021-10-30T14:53:54Z
org.apache.lucenelucene-backward-codecs,"update","8.8.2","8.9.0",2021-07-21T21:35:11Z
org.apache.lucenelucene-backward-codecs,"update","8.8.1","8.8.2",2021-05-29T14:18:20Z
org.apache.lucenelucene-backward-codecs,"update","8.8.0","8.8.1",2021-03-26T21:19:46Z
org.apache.lucenelucene-backward-codecs,"update","8.7.0","8.8.0",2021-02-04T23:45:32Z
org.apache.lucenelucene-backward-codecs,"update","8.6.3","8.7.0",2020-11-11T15:56:27Z
org.apache.lucenelucene-backward-codecs,"update","8.6.2","8.6.3",2020-10-09T14:45:33Z
org.apache.lucenelucene-backward-codecs,"update","8.6.0","8.6.2",2020-09-05T22:11:09Z
org.apache.lucenelucene-backward-codecs,"update","8.5.2","8.6.0",2020-07-19T09:29:51Z
org.apache.lucenelucene-backward-codecs,"update","7.7.0","8.5.2",2020-06-08T15:20:51Z
org.apache.lucenelucene-backward-codecs,"update","6.6.5","7.7.0",2019-02-18T00:17:55Z
org.apache.lucenelucene-backward-codecs,"update","6.6.4","6.6.5",2018-07-17T14:47:46Z
org.apache.lucenelucene-backward-codecs,"update","6.6.3","6.6.4",2018-06-12T14:20:48Z
org.apache.lucenelucene-backward-codecs,"update","6.6.2","6.6.3",2018-03-12T21:52:54Z
org.apache.lucenelucene-backward-codecs,"update","6.6.1","6.6.2",2017-10-18T20:38:31Z
org.apache.lucenelucene-backward-codecs,"update","6.6.0","6.6.1",2017-09-07T12:53:39Z
org.apache.lucenelucene-backward-codecs,"update","6.5.1","6.6.0",2017-06-25T10:19:10Z
org.apache.lucenelucene-backward-codecs,"update","6.5.0","6.5.1",2017-05-02T09:53:55Z
org.apache.lucenelucene-backward-codecs,"update","6.4.2","6.5.0",2017-03-28T16:41:45Z
org.apache.lucenelucene-backward-codecs,"update","6.4.1","6.4.2",2017-03-12T18:03:41Z
org.apache.lucenelucene-backward-codecs,"update","6.4.0","6.4.1",2017-02-06T13:04:57Z
org.apache.lucenelucene-backward-codecs,"update","6.4.0-SNAPSHOT","6.4.0",2017-01-23T17:22:25Z
org.apache.lucenelucene-backward-codecs,"update","6.3.0","6.4.0-SNAPSHOT",2017-01-20T16:50:39Z
org.apache.lucenelucene-backward-codecs,"update","${lucene.version}","6.3.0",2016-12-12T14:57:32Z
org.assertjassertj-core,"remove","3.12.0","",2020-06-08T15:20:51Z
org.assertjassertj-core,"update","3.11.1","3.12.0",2019-02-19T21:42:14Z
org.assertjassertj-core,"add","","3.11.1",2018-10-14T21:41:04Z
com.datastax.cassandracassandra-driver-core,"remove","unknown","",2016-12-12T14:57:32Z
com.qwazrqwazr-cluster,"remove","1.5.2-SNAPSHOT","",2022-04-01T10:58:05Z
com.qwazrqwazr-cluster,"update","1.5.1","1.5.2-SNAPSHOT",2020-12-09T21:56:13Z
com.qwazrqwazr-cluster,"update","${project.version}","1.5.1",2020-12-09T21:56:05Z
com.qwazrqwazr-cluster,"update","1.5.1-SNAPSHOT","${project.version}",2020-10-09T14:45:33Z
com.qwazrqwazr-cluster,"update","1.5.0","1.5.1-SNAPSHOT",2020-10-01T03:13:46Z
com.qwazrqwazr-cluster,"update","1.5.0-SNAPSHOT","1.5.0",2020-10-01T03:13:36Z
