library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-xml-provider,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
org.roaringbitmapRoaringBitmap,"update","0.9.25","0.9.32",2022-09-28T17:46:26Z
com.squareup.okhttp3okhttp,"update","4.9.2","4.9.3",2022-09-28T17:46:26Z
com.fasterxml.jackson.dataformatjackson-dataformat-yaml,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
io.undertowundertow-servlet,"update","2.2.16.Final","2.2.19.Final",2022-09-28T17:46:26Z
org.jboss.threadsjboss-threads,"update","3.4.2.Final","3.4.3.Final",2022-09-28T17:46:26Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-smile-provider,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-json-provider,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.fasterxml.jackson.dataformatjackson-dataformats-text,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.fasterxml.jackson.dataformatjackson-dataformat-xml,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
org.glassfish.jersey.corejersey-client,"update","2.35","2.37",2022-09-28T17:46:26Z
com.fasterxml.jackson.corejackson-annotations,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.ibm.icuicu4j,"update","70.1","71.1",2022-09-28T17:46:26Z
org.jetbrains.kotlinkotlin-stdlib,"update","1.5.32","1.6.21",2022-09-28T17:51:20Z
com.fasterxml.jackson.jaxrsjackson-jaxrs-yaml-provider,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
com.fasterxml.jackson.corejackson-core,"update","2.13.2","2.13.4",2022-09-28T17:46:26Z
org.jetbrains.kotlinkotlin-stdlib-common,"update","1.5.32","1.6.21",2022-09-28T17:51:20Z
org.javassistjavassist,"update","3.28.0-GA","3.29.2-GA",2022-09-28T17:46:26Z
org.jboss.xnioxnio-api,"update","3.8.6.Final","3.8.8.Final",2022-09-28T17:46:26Z
org.glassfish.jersey.corejersey-common,"update","2.35","2.37",2022-09-28T17:46:26Z
org.glassfish.jersey.injectjersey-hk2,"update","2.35","2.37",2022-09-28T17:46:26Z
org.glassfish.jersey.containersjersey-container-servlet-core,"update","2.35","2.37",2022-09-28T17:46:26Z
org.jboss.xnioxnio-nio,"update","3.8.6.Final","3.8.8.Final",2022-09-28T17:46:26Z
org.glassfish.jersey.containersjersey-container-servlet,"update","2.35","2.37",2022-09-28T17:46:26Z
io.undertowundertow-core,"update","2.2.16.Final","2.2.19.Final",2022-09-28T17:46:26Z
org.glassfish.jersey.mediajersey-media-multipart,"update","2.35","2.37",2022-09-28T17:46:26Z
