library,type,old_version,new_version,commit_date
io.github.qwefgh90jsearch,"add","","0.3.0",2016-12-02T17:06:08Z
com.fasterxml.jackson.corejackson-databind,"update","2.7.3","2.8.5",2016-12-15T15:58:46Z
org.hamcresthamcrest-library,"add","","1.3",2017-01-01T06:01:53Z
org.apache.tomcat.embedtomcat-embed-core,"update","8.5.0","8.0.33",2016-05-22T14:18:04Z
org.apache.tomcat.embedtomcat-embed-jasper,"update","8.5.0","8.0.33",2016-05-22T14:18:04Z
commons-langcommons-lang,"add","","2.3",2016-05-09T14:53:07Z
org.glassfish.tyrus.bundlestyrus-standalone-client,"remove","1.9","",2016-06-08T15:39:46Z
org.glassfish.tyrus.bundlestyrus-standalone-client,"add","","1.9",2016-05-15T15:23:47Z
org.hamcresthamcrest-core,"add","","1.3",2017-01-01T06:01:53Z
org.jprocessesjProcesses,"add","","1.6.3",2017-04-16T12:26:41Z
org.apache.tomcat.embedtomcat-embed-websocket,"add","","8.0.33",2016-05-22T14:18:04Z
commons-iocommons-io,"remove","2.5","",2017-01-09T15:24:44Z
commons-iocommons-io,"update","2.4","2.5",2016-09-08T08:55:38Z
javax.injectjavax.inject,"add","","1",2016-12-19T04:34:52Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.5",2016-12-15T15:58:46Z
commons-clicommons-cli,"add","","1.3.1",2016-05-15T15:23:47Z
com.qwefgh90.io.jsearchJSearch,"remove","1.0","",2016-12-02T17:06:08Z
com.qwefgh90.io.jsearchJSearch,"add","","1.0",2016-05-11T16:35:09Z
org.springframework.securityspring-security-config,"remove","4.1.0.RELEASE","",2016-05-17T23:51:47Z
org.springframework.securityspring-security-config,"add","","4.1.0.RELEASE",2016-05-15T15:23:47Z
junitjunit,"add","","4.12",2017-01-01T06:01:53Z
org.springframeworkspring-messaging,"update","4.2.6.RELEASE","4.2.5.RELEASE",2016-07-11T15:54:57Z
org.springframeworkspring-messaging,"add","","4.2.6.RELEASE",2016-05-15T15:23:47Z
com.fasterxml.jackson.corejackson-core,"remove","2.7.3","",2016-12-15T15:58:46Z
javax.websocketjavax.websocket-api,"update","1.0","1.1",2016-05-22T14:18:04Z
javax.websocketjavax.websocket-api,"add","","1.0",2016-05-15T15:23:47Z
org.apache.lucenelucene-highlighter,"add","","6.0.0",2016-05-15T15:23:47Z
org.springframeworkspring-test,"update","4.2.6.RELEASE","4.2.5.RELEASE",2016-07-11T15:54:57Z
org.springframeworkspring-test,"add","","4.2.6.RELEASE",2016-05-09T14:53:07Z
org.apache.lucenelucene-queryparser,"add","","6.0.0",2016-05-11T16:35:09Z
org.springframework.securityspring-security-web,"remove","4.1.0.RELEASE","",2016-05-17T23:51:47Z
org.springframework.securityspring-security-web,"add","","4.1.0.RELEASE",2016-05-15T15:23:47Z
org.apache.tomcat.embedtomcat-embed-logging-log4j,"remove","8.0.33","",2017-01-13T16:04:30Z
org.apache.tomcat.embedtomcat-embed-logging-log4j,"update","8.5.0","8.0.33",2016-05-22T14:18:04Z
org.apache.tomcat.embedtomcat-embed-logging-log4j,"add","","8.5.0",2016-05-09T14:53:07Z
org.apache.tomcat.embedtomcat-embed-logging-juli,"update","8.5.0","8.0.33",2016-05-22T14:18:04Z
org.apache.lucenelucene-core,"add","","6.0.0",2016-05-11T16:35:09Z
org.springframeworkspring-websocket,"update","4.2.6.RELEASE","4.2.5.RELEASE",2016-07-11T15:54:57Z
org.springframeworkspring-websocket,"add","","4.2.6.RELEASE",2016-05-15T15:23:47Z
org.hamcresthamcrest-all,"remove","1.3","",2017-01-01T06:01:53Z
org.hamcresthamcrest-all,"add","","1.3",2016-06-08T15:39:46Z
com.jayway.jsonpathjson-path,"add","","2.2.0",2016-06-08T15:39:46Z
org.springframework.securityspring-security-core,"remove","4.1.0.RELEASE","",2016-05-17T23:51:47Z
org.springframework.securityspring-security-core,"add","","4.1.0.RELEASE",2016-05-15T15:23:47Z
org.apache.lucenelucene-analyzers-common,"add","","6.0.0",2016-05-11T16:35:09Z
com.typesafe.akkaakka-actor_2.11,"add","","2.4.14",2016-12-19T04:34:52Z
org.apache.derbyderby,"remove","10.12.1.1","",2016-07-08T15:10:28Z
org.apache.derbyderby,"add","","10.12.1.1",2016-05-09T14:53:07Z
org.apache.lucenelucene-test-framework,"add","","6.0.0",2016-12-04T14:16:09Z
