library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","7.2.0","7.7.2",2019-07-04T21:53:22Z
org.apache.lucenelucene-core,"update","4.10.4","7.2.0",2018-01-15T22:54:12Z
org.apache.commonscommons-lang3,"update","3.4","3.7",2019-01-08T20:39:47Z
org.apache.commonscommons-io,"add","","1.3.2",2018-10-14T20:45:58Z
org.apache.lucenelucene-highlighter,"update","7.2.0","7.7.2",2019-07-04T21:53:22Z
org.apache.lucenelucene-highlighter,"update","4.10.4","7.2.0",2018-01-15T22:54:12Z
org.apache.lucenelucene-analyzers-common,"update","7.2.0","7.7.2",2019-07-04T21:53:22Z
org.apache.lucenelucene-analyzers-common,"update","4.10.4","7.2.0",2018-01-15T22:54:12Z
org.apache.lucenelucene-misc,"update","7.2.0","7.7.2",2019-07-04T21:53:22Z
org.apache.lucenelucene-misc,"update","4.10.4","7.2.0",2018-01-15T22:54:12Z
org.apache.lucenelucene-queryparser,"update","7.2.0","7.7.2",2019-07-04T21:53:22Z
org.apache.lucenelucene-queryparser,"update","4.10.4","7.2.0",2018-01-15T22:54:12Z
