library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"add","","9.1",2024-03-20T10:46:37Z
org.apache.lucenelucene-analysis-common,"remove","9.1","",2024-03-20T10:23:51Z
org.apache.lucenelucene-analysis-common,"update","9.1","9.1",2024-03-20T09:39:38Z
org.apache.lucenelucene-analysis-common,"update","9.10","9.10",2024-03-20T09:37:24Z
org.apache.lucenelucene-analysis-common,"update","9.0.0","9.10",2024-03-20T08:47:05Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2024-03-20T08:05:53Z
org.apache.lucenelucene-analysis-common,"remove","9.0.0","",2024-03-19T17:46:42Z
org.apache.lucenelucene-analysis-common,"add","","9.0.0",2024-03-19T14:25:46Z
ch.qos.logbacklogback-classic,"remove","1.5.3","",2024-03-20T18:48:06Z
ch.qos.logbacklogback-classic,"update","1.2.0","1.5.3",2024-03-19T09:52:36Z
ch.qos.logbacklogback-classic,"update","1.1.7","1.2.0",2022-03-04T14:56:42Z
com.google.guavaguava,"remove","31.0.1-jre","",2024-03-21T07:46:49Z
com.google.guavaguava,"add","","31.0.1-jre",2024-03-20T17:44:46Z
com.google.guavaguava,"remove","31.0.1-jre","",2024-03-20T14:30:15Z
com.google.guavaguava,"update","20.0","31.0.1-jre",2024-03-20T10:46:37Z
com.google.guavaguava,"update","31.0.1-jre","20.0",2024-03-20T10:23:51Z
com.google.guavaguava,"update","20.0","31.0.1-jre",2024-03-20T08:05:53Z
com.google.guavaguava,"update","31.0.1-jre","20.0",2024-03-19T17:46:42Z
com.google.guavaguava,"update","20.0","31.0.1-jre",2024-03-19T14:25:46Z
com.google.guavaguava,"add","","20.0",2018-03-15T07:15:12Z
org.slf4jslf4j-api,"update","2.0.15","2.0.16",2024-08-12T17:35:34Z
org.slf4jslf4j-api,"update","2.0.14","2.0.15",2024-08-08T17:42:08Z
org.slf4jslf4j-api,"update","2.0.13","2.0.14",2024-08-07T17:23:30Z
org.slf4jslf4j-api,"update","2.0.12","2.0.13",2024-04-12T17:51:52Z
org.slf4jslf4j-api,"update","1.7.7","2.0.12",2024-03-21T07:52:37Z
org.apache.lucenelucene-analyzers-common,"remove","6.0","",2024-03-20T10:46:37Z
org.apache.lucenelucene-analyzers-common,"add","","6.0",2024-03-20T10:23:51Z
org.apache.lucenelucene-analyzers-common,"remove","6.0","",2024-03-20T08:05:53Z
org.apache.lucenelucene-analyzers-common,"add","","6.0",2024-03-19T17:46:42Z
org.apache.lucenelucene-analyzers-common,"remove","6.0","",2024-03-19T14:25:46Z
org.apache.lucenelucene-analyzers-common,"update","6.0","6.0",2020-02-18T09:55:30Z
org.apache.lucenelucene-analyzers-common,"update","6.6.2","6.0",2020-02-17T14:56:45Z
org.slf4jslf4j-simple,"update","2.0.15","2.0.16",2024-08-12T17:35:34Z
org.slf4jslf4j-simple,"update","2.0.14","2.0.15",2024-08-08T17:42:08Z
org.slf4jslf4j-simple,"update","2.0.13","2.0.14",2024-08-07T17:23:30Z
org.slf4jslf4j-simple,"update","2.0.12","2.0.13",2024-04-12T17:51:52Z
org.slf4jslf4j-simple,"update","1.7.7","2.0.12",2024-03-21T07:52:37Z
org.slf4jslf4j-simple,"add","","1.7.7",2024-03-20T18:48:06Z
junitjunit,"update","4.13.1","4.13.2",2024-03-20T09:40:08Z
junitjunit,"update","4.13.2","4.13.1",2024-03-20T08:05:53Z
junitjunit,"update","4.13.1","4.13.2",2024-03-19T17:48:36Z
junitjunit,"update","4.13.2","4.13.1",2024-03-19T17:46:50Z
junitjunit,"update","4.13.1","4.13.2",2024-03-19T17:46:47Z
junitjunit,"update","4.12","4.13.1",2022-03-04T14:55:25Z
com.github.ben-manes.caffeinecaffeine,"add","","3.1.1,3.2",2024-03-21T07:46:49Z
com.github.ben-manes.caffeinecaffeine,"remove","3.1.1,3.2","",2024-03-20T17:44:46Z
com.github.ben-manes.caffeinecaffeine,"add","","3.1.1,3.2",2024-03-20T14:30:15Z
org.apache.lucenelucene-test-framework,"update","6.0","9.1",2024-03-20T10:46:37Z
org.apache.lucenelucene-test-framework,"update","9.1","6.0",2024-03-20T10:23:51Z
org.apache.lucenelucene-test-framework,"update","9.1","9.1",2024-03-20T09:39:38Z
org.apache.lucenelucene-test-framework,"update","9.1","9.10",2024-03-20T09:37:24Z
org.apache.lucenelucene-test-framework,"update","9.0.0","9.10",2024-03-20T08:47:05Z
org.apache.lucenelucene-test-framework,"update","6.0","9.0.0",2024-03-20T08:05:53Z
org.apache.lucenelucene-test-framework,"update","9.0.0","6.0",2024-03-19T17:46:42Z
org.apache.lucenelucene-test-framework,"update","6.0","9.0.0",2024-03-19T14:25:46Z
org.apache.lucenelucene-test-framework,"update","6.0","6.0",2020-02-18T09:55:30Z
org.apache.lucenelucene-test-framework,"update","6.6.2","6.0",2020-02-17T14:56:45Z
