library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
com.fasterxml.jackson.corejackson-databind,"add","","2.8.9",2017-09-28T07:02:40Z
org.springframeworkspring-context,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.slf4jslf4j-api,"add","","1.6.6",2017-09-28T07:02:40Z
org.apache.httpcomponentshttpclient,"add","","4.5.3",2017-09-28T07:02:40Z
org.apache.httpcomponentshttpmime,"add","","4.5.3",2017-09-28T07:02:40Z
log4jlog4j,"add","","1.2.16",2017-09-28T07:02:40Z
org.hibernatehibernate-entitymanager,"add","","4.3.3.Final",2017-09-28T07:02:40Z
org.springframeworkspring-beans,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-orm,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.jsonjson,"add","","20170516",2017-09-28T07:02:40Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.8.9",2017-09-28T07:02:40Z
org.springframework.securityspring-security-config,"add","","4.2.3.RELEASE",2017-09-28T07:02:40Z
junitjunit,"add","","4.12",2017-09-28T07:02:40Z
org.springframeworkspring-tx,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-webmvc,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
com.fasterxml.jackson.corejackson-core,"add","","2.8.9",2017-09-28T07:02:40Z
org.springframework.dataspring-data-jpa,"add","","1.11.6.RELEASE",2017-09-28T07:02:40Z
org.slf4jslf4j-log4j12,"add","","1.6.6",2017-09-28T07:02:40Z
org.apache.lucenelucene-highlighter,"add","","6.6.1",2017-09-28T07:02:40Z
org.apache.lucenelucene-analyzers-smartcn,"add","","6.6.1",2017-09-28T07:02:40Z
org.springframeworkspring-jdbc,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-test,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-aop,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-aspects,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.apache.lucenelucene-queryparser,"add","","6.6.1",2017-09-28T07:02:40Z
mysqlmysql-connector-java,"add","","5.1.41",2017-09-28T07:02:40Z
com.mchangec3p0,"add","","0.9.5.2",2017-09-28T07:02:40Z
org.springframework.securityspring-security-web,"add","","4.2.3.RELEASE",2017-09-28T07:02:40Z
org.apache.lucenelucene-queries,"add","","6.6.1",2017-09-28T07:02:40Z
org.apache.lucenelucene-core,"add","","6.6.1",2017-09-28T07:02:40Z
javax.servletjavax.servlet-api,"add","","3.1.0",2017-09-28T07:02:40Z
org.hibernatehibernate-core,"add","","4.3.3.Final",2017-09-28T07:02:40Z
org.springframeworkspring-web,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.springframeworkspring-expression,"add","","4.3.3.RELEASE",2017-09-28T07:02:40Z
org.apache.lucenelucene-analyzers-common,"add","","6.6.1",2017-09-28T07:02:40Z
org.apache.lucenelucene-test-framework,"add","","6.6.1",2017-09-28T07:02:40Z
