library,type,old_version,new_version,commit_date
org.hibernatehibernate-validator,"add","","5.2.4.Final",2018-03-09T20:55:59Z
org.apache.tomcat.embedtomcat-embed-jasper,"remove","unknown","",2018-03-05T19:24:24Z
org.apache.tomcat.embedtomcat-embed-jasper,"add","","unknown",2018-03-04T15:21:13Z
org.springframework.sessionspring-session-core,"remove","unknown","",2018-03-09T20:55:59Z
org.springframework.sessionspring-session-core,"add","","unknown",2018-03-05T19:24:24Z
org.springframework.bootspring-boot-starter-thymeleaf,"add","","unknown",2018-03-04T15:21:13Z
org.springframework.bootspring-boot-starter,"add","","unknown",2018-03-09T20:55:59Z
org.springframeworkspring-test,"remove","5.0.4.RELEASE","",2018-05-08T22:48:33Z
org.springframeworkspring-test,"add","","5.0.4.RELEASE",2018-03-09T20:55:59Z
mysqlmysql-connector-java,"add","","unknown",2018-03-05T19:24:24Z
nz.net.ultraq.thymeleafthymeleaf-layout-dialect,"add","","unknown",2018-03-05T21:48:54Z
org.hibernatehibernate-search-orm,"add","","4.5.1.Final",2018-04-02T18:22:23Z
org.springframework.bootspring-boot-starter-security,"add","","unknown",2018-03-07T23:47:21Z
org.springframework.bootspring-boot-starter-data-jpa,"add","","unknown",2018-03-05T19:24:24Z
org.springframework.bootspring-boot-autoconfigure,"remove","2.0.0.RELEASE","",2018-03-09T20:55:59Z
org.springframework.bootspring-boot-autoconfigure,"add","","2.0.0.RELEASE",2018-03-07T23:47:21Z
org.springframework.bootspring-boot-starter-validation,"remove","unknown","",2018-03-09T20:55:59Z
org.springframework.bootspring-boot-starter-validation,"add","","unknown",2018-03-05T19:24:24Z
org.thymeleaf.extrasthymeleaf-extras-springsecurity4,"remove","unknown","",2018-04-09T00:26:38Z
org.thymeleaf.extrasthymeleaf-extras-springsecurity4,"add","","unknown",2018-03-09T20:55:59Z
com.h2databaseh2,"add","","1.4.194",2018-05-08T22:48:33Z
org.thymeleaf.extrasthymeleaf-extras-springsecurity3,"add","","unknown",2018-03-09T20:55:59Z
org.springframework.bootspring-boot-test,"update","2.0.0.RELEASE","unknown",2018-05-08T22:48:33Z
org.springframework.bootspring-boot-test,"add","","2.0.0.RELEASE",2018-03-09T20:55:59Z
org.springframework.bootspring-boot-starter-test,"add","","unknown",2018-03-05T19:24:24Z
org.springframework.bootspring-boot-starter-web,"remove","unknown","",2018-03-09T20:55:59Z
