library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.solrsolr-solrj,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.solrsolr-solrj,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.lucenelucene-queries,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.lucenelucene-queries,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.lucenelucene-queries,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.lucenelucene-core,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.lucenelucene-core,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.lucenelucene-core,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.solrsolr-core,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.solrsolr-core,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.solrsolr-core,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.lucenelucene-analyzers-common,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.lucenelucene-analyzers-common,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.lucenelucene-analyzers-common,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.lucenelucene-misc,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.lucenelucene-misc,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.lucenelucene-misc,"update","${version}","4.1.0",2013-02-02T18:42:50Z
org.apache.lucenelucene-queryparser,"update","4.2.0","4.3.0",2013-05-07T16:30:24Z
org.apache.lucenelucene-queryparser,"update","4.1.0","4.2.0",2013-03-27T11:23:14Z
org.apache.lucenelucene-queryparser,"update","${version}","4.1.0",2013-02-02T18:42:50Z
