library,type,old_version,new_version,commit_date
org.apache.lucenelucene-analysis-common,"update","9.3.0","9.6.0",2024-06-05T18:46:02Z
org.apache.lucenelucene-analysis-common,"add","","9.3.0",2023-08-30T03:51:14Z
org.apache.lucenelucene-core,"update","9.3.0","9.6.0",2024-06-05T18:46:02Z
org.apache.lucenelucene-core,"update","8.8.0","9.3.0",2023-08-30T03:51:14Z
org.apache.lucenelucene-core,"update","8.2.0","8.8.0",2021-02-12T19:34:48Z
org.apache.lucenelucene-core,"update","7.4.0","8.2.0",2019-08-30T15:42:09Z
org.apache.lucenelucene-core,"update","6.6.1","7.4.0",2018-09-12T21:47:47Z
org.apache.lucenelucene-core,"update","4.4.0","6.6.1",2018-08-09T23:35:44Z
commons-iocommons-io,"update","2.8.0","2.13.0",2023-08-30T03:51:14Z
commons-iocommons-io,"update","2.5","2.8.0",2021-02-12T19:34:48Z
commons-iocommons-io,"add","","2.5",2018-08-22T21:27:19Z
org.apache.lucenelucene-codecs,"update","9.3.0","9.6.0",2024-06-05T18:46:02Z
org.apache.lucenelucene-codecs,"update","8.8.0","9.3.0",2023-08-30T03:51:14Z
org.apache.lucenelucene-codecs,"update","8.2.0","8.8.0",2021-02-12T19:34:48Z
org.apache.lucenelucene-codecs,"update","7.4.0","8.2.0",2019-08-30T15:42:09Z
org.apache.lucenelucene-codecs,"update","6.6.1","7.4.0",2018-09-12T21:47:47Z
org.apache.lucenelucene-codecs,"update","4.4.0","6.6.1",2018-08-09T23:35:44Z
com.carrotsearch.randomizedtestingrandomizedtesting-runner,"remove","2.0.10","",2018-08-09T22:13:25Z
org.apache.lucenelucene-analyzers-common,"remove","8.8.0","",2023-08-30T03:51:14Z
org.apache.lucenelucene-analyzers-common,"update","8.2.0","8.8.0",2021-02-12T19:34:48Z
org.apache.lucenelucene-analyzers-common,"update","7.4.0","8.2.0",2019-08-30T15:42:09Z
org.apache.lucenelucene-analyzers-common,"update","6.6.1","7.4.0",2018-09-12T21:47:47Z
org.apache.lucenelucene-analyzers-common,"update","4.4.0","6.6.1",2018-08-09T23:35:44Z
net.sourceforge.coberturacobertura,"remove","1.9.4.1","",2018-08-09T22:13:25Z
com.ibm.icuicu4j,"update","68.2","70.1",2024-06-05T18:46:02Z
com.ibm.icuicu4j,"update","61.1","68.2",2021-02-12T19:34:48Z
com.ibm.icuicu4j,"add","","61.1",2018-08-10T00:26:10Z
org.apache.lucenelucene-test-framework,"update","9.3.0","9.6.0",2024-06-05T18:46:02Z
org.apache.lucenelucene-test-framework,"update","8.8.0","9.3.0",2023-08-30T03:51:14Z
org.apache.lucenelucene-test-framework,"update","8.2.0","8.8.0",2021-02-12T19:34:48Z
org.apache.lucenelucene-test-framework,"update","7.4.0","8.2.0",2019-08-30T15:42:09Z
org.apache.lucenelucene-test-framework,"update","6.6.1","7.4.0",2018-09-12T21:47:47Z
org.apache.lucenelucene-test-framework,"update","4.4.0","6.6.1",2018-08-09T23:35:44Z
