library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-core,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-core,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
com.sun.facesjsf-api,"update","2.2.14","2.2.18",2019-07-16T15:47:25Z
com.sun.facesjsf-api,"update","2.2.10","2.2.14",2017-02-23T22:46:18Z
org.apache.commonscommons-lang3,"update","3.5","3.8.1",2019-07-16T15:47:25Z
org.apache.commonscommons-lang3,"update","3.3.2","3.5",2017-02-23T22:46:18Z
io.springfoxspringfox-swagger2,"update","2.8.0","2.9.2",2019-10-05T21:47:03Z
io.springfoxspringfox-swagger2,"update","2.6.1","2.8.0",2019-07-16T15:47:25Z
io.springfoxspringfox-swagger2,"add","","2.6.1",2017-04-07T05:57:02Z
org.springframeworkspring-context,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-context,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-context,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
com.google.guavaguava,"update","18.0","20.0",2019-10-05T21:47:03Z
ch.qos.logbacklogback-core,"update","1.2.1","1.2.3",2019-07-16T15:47:25Z
ch.qos.logbacklogback-core,"update","1.1.2","1.2.1",2017-02-23T22:46:18Z
org.slf4jslf4j-api,"update","1.7.23","1.7.26",2019-07-16T15:47:25Z
org.slf4jslf4j-api,"update","1.7.24","1.7.23",2017-03-07T20:55:04Z
org.slf4jslf4j-api,"update","1.7.23","1.7.24",2017-02-26T16:21:46Z
org.slf4jslf4j-api,"update","1.7.10","1.7.23",2017-02-23T22:46:18Z
org.eclipse.jettyjetty-jsp,"update","9.2.21.v20170120","9.2.28.v20190418",2019-07-16T15:47:25Z
org.eclipse.jettyjetty-jsp,"update","9.2.2.v20140723","9.2.21.v20170120",2017-02-23T22:46:18Z
org.quartz-schedulerquartz-jobs,"update","2.2.3","2.3.0",2019-07-16T15:47:25Z
org.quartz-schedulerquartz-jobs,"update","2.2.1","2.2.3",2017-02-23T22:46:18Z
com.trileadtrilead-ssh2,"add","","1.0.0-build220",2017-02-23T23:01:38Z
org.springframeworkspring-beans,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-beans,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-beans,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
org.springframeworkspring-orm,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-orm,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-orm,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
org.tmatesoft.svnkitsvnkit,"update","1.8.14","1.9.3",2019-07-16T15:47:25Z
org.tmatesoft.svnkitsvnkit,"update","1.8.8","1.8.14",2017-02-23T22:46:18Z
commons-iocommons-io,"update","2.5","2.6",2019-07-16T15:47:25Z
commons-iocommons-io,"update","2.4","2.5",2017-02-23T22:46:18Z
com.sun.facesjsf-impl,"update","2.2.14","2.2.18",2019-07-16T15:47:25Z
com.sun.facesjsf-impl,"update","2.2.10","2.2.14",2017-02-23T22:46:18Z
org.springframeworkspring-context-support,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-context-support,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-context-support,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
joda-timejoda-time,"update","2.9.9","2.10.2",2019-07-16T15:47:25Z
joda-timejoda-time,"add","","2.9.9",2017-04-07T05:57:02Z
org.springframeworkspring-webmvc,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-webmvc,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-webmvc,"add","","4.3.6.RELEASE",2017-04-02T09:56:50Z
org.glassfishjavax.el,"update","3.0.1-b08","3.0.1-b11",2019-07-16T15:47:25Z
org.glassfishjavax.el,"add","","3.0.1-b08",2017-02-23T23:01:38Z
io.swaggerswagger-core,"remove","1.5.13","",2019-07-16T15:47:25Z
io.swaggerswagger-core,"add","","1.5.13",2017-04-07T05:57:02Z
org.apache.lucenelucene-highlighter,"update","4.9.0","8.2.0",2019-07-25T22:07:04Z
org.eclipse.jettyjetty-server,"update","9.2.21.v20170120","9.2.28.v20190418",2019-07-16T15:47:25Z
org.eclipse.jettyjetty-server,"update","9.2.2.v20140723","9.2.21.v20170120",2017-02-23T22:46:18Z
org.eclipse.jettyjetty-webapp,"update","9.2.21.v20170120","9.2.28.v20190418",2019-07-16T15:47:25Z
org.eclipse.jettyjetty-webapp,"update","9.2.2.v20140723","9.2.21.v20170120",2017-02-23T22:46:18Z
org.apache.lucenelucene-queryparser,"update","4.9.0","8.2.0",2019-07-25T22:07:04Z
org.testngtestng,"update","6.10","6.14.3",2019-07-16T15:47:25Z
org.testngtestng,"update","6.8.21","6.10",2017-02-23T22:46:18Z
io.springfoxspringfox-swagger-ui,"update","2.8.0","2.9.2",2019-10-05T21:47:03Z
io.springfoxspringfox-swagger-ui,"update","2.6.1","2.8.0",2019-07-16T15:47:25Z
io.springfoxspringfox-swagger-ui,"add","","2.6.1",2017-04-07T05:57:02Z
org.apache.lucenelucene-core,"update","4.9.0","8.2.0",2019-07-25T22:07:04Z
ch.qos.logbacklogback-classic,"update","1.2.1","1.2.3",2019-07-16T15:47:25Z
ch.qos.logbacklogback-classic,"update","1.1.2","1.2.1",2017-02-23T22:46:18Z
org.springframeworkspring-web,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-web,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-web,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
org.springframeworkspring-expression,"update","4.3.18.RELEASE","4.3.21.RELEASE",2019-07-16T15:47:25Z
org.springframeworkspring-expression,"update","4.3.6.RELEASE","4.3.18.RELEASE",2018-10-17T11:58:18Z
org.springframeworkspring-expression,"update","4.1.5.RELEASE","4.3.6.RELEASE",2017-02-23T22:46:18Z
org.quartz-schedulerquartz,"update","2.2.3","2.3.0",2019-07-16T15:47:25Z
org.quartz-schedulerquartz,"update","2.2.1","2.2.3",2017-02-23T22:46:18Z
org.apache.lucenelucene-analyzers-common,"update","4.9.0","8.2.0",2019-07-25T22:07:04Z
io.swagger.core.v3swagger-core,"update","2.0.8","2.0.9",2019-10-05T21:47:03Z
io.swagger.core.v3swagger-core,"add","","2.0.8",2019-07-16T15:47:25Z
