library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"add","","${log4j.version}",2019-01-18T13:39:55Z
com.google.code.gsongson,"update","2.8.0","2.8.5",2019-01-18T12:21:01Z
com.google.code.gsongson,"add","","2.8.0",2017-05-26T20:48:42Z
org.apache.lucenelucene-core,"update","5.5.3","${lucene.version}",2017-02-20T19:36:56Z
org.apache.commonscommons-lang3,"update","3.5","3.8.1",2019-01-18T12:21:01Z
org.apache.commonscommons-lang3,"add","","3.5",2017-05-26T20:48:42Z
org.apache.lucenelucene-analyzers-common,"add","","${lucene.version}",2017-05-26T20:48:42Z
org.apache.logging.log4jlog4j-1.2-api,"add","","${log4j.version}",2019-01-18T13:39:55Z
org.apache.lucenelucene-analyzers-icu,"add","","${lucene.version}",2017-05-26T20:48:42Z
org.apache.logging.log4jlog4j-slf4j-impl,"add","","${log4j.version}",2019-01-18T13:39:55Z
org.apache.logging.log4jlog4j-core,"add","","${log4j.version}",2019-01-18T13:39:55Z
org.apache.lucenelucene-misc,"update","5.5.3","${lucene.version}",2017-02-20T19:36:56Z
org.apache.commonscommons-compress,"update","1.14","1.18",2019-01-18T12:21:01Z
org.apache.commonscommons-compress,"add","","1.14",2017-05-26T20:48:42Z
log4jlog4j,"remove","1.2.16","",2019-01-18T13:39:55Z
log4jlog4j,"add","","1.2.16",2017-06-07T11:04:17Z
commons-clicommons-cli,"update","1.3.1","1.4",2019-01-18T12:21:01Z
