library,type,old_version,new_version,commit_date
org.apache.lucenelucene-sandbox,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-sandbox,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-sandbox,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-sandbox,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-sandbox,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-sandbox,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-sandbox,"update","6.4.0","6.4.1",2017-02-17T01:15:34Z
org.apache.lucenelucene-sandbox,"update","6.3.0","6.4.0",2017-01-23T13:54:38Z
org.apache.lucenelucene-sandbox,"update","6.2.0","6.3.0",2016-11-08T14:47:20Z
org.apache.lucenelucene-sandbox,"update","6.1.0","6.2.0",2016-08-29T16:12:12Z
org.apache.lucenelucene-sandbox,"update","6.0.0","6.1.0",2016-06-20T20:08:22Z
org.apache.lucenelucene-sandbox,"update","5.4.0","6.0.0",2016-04-12T14:12:54Z
org.apache.lucenelucene-sandbox,"update","5.3.1","5.4.0",2015-12-16T18:34:20Z
org.apache.lucenelucene-sandbox,"update","5.3.0","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-sandbox,"update","5.2.1","5.3.0",2015-09-11T15:05:25Z
org.apache.lucenelucene-sandbox,"update","4.10.4","5.2.1",2015-06-21T02:35:58Z
org.apache.lucenelucene-sandbox,"update","4.10.3","4.10.4",2015-04-28T16:04:18Z
org.apache.lucenelucene-sandbox,"update","4.10.2","4.10.3",2015-03-04T12:50:39Z
org.apache.lucenelucene-sandbox,"update","4.10.1","4.10.2",2014-10-31T18:50:54Z
org.apache.lucenelucene-sandbox,"update","4.9.0","4.10.1",2014-10-20T21:18:45Z
org.apache.lucenelucene-queries,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-queries,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-queries,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-queries,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-queries,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-queries,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-queries,"update","6.4.0","6.4.1",2017-02-17T01:15:34Z
org.apache.lucenelucene-queries,"update","6.3.0","6.4.0",2017-01-23T13:54:38Z
org.apache.lucenelucene-queries,"update","6.2.0","6.3.0",2016-11-08T14:47:20Z
org.apache.lucenelucene-queries,"update","6.1.0","6.2.0",2016-08-29T16:12:12Z
org.apache.lucenelucene-queries,"update","6.0.0","6.1.0",2016-06-20T20:08:22Z
org.apache.lucenelucene-queries,"update","5.4.0","6.0.0",2016-04-12T14:12:54Z
org.apache.lucenelucene-queries,"update","5.3.1","5.4.0",2015-12-16T18:34:20Z
org.apache.lucenelucene-queries,"update","5.3.0","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-queries,"update","5.2.1","5.3.0",2015-09-11T15:05:25Z
org.apache.lucenelucene-queries,"update","4.10.4","5.2.1",2015-06-21T02:35:58Z
org.apache.lucenelucene-queries,"update","4.10.3","4.10.4",2015-04-28T16:04:18Z
org.apache.lucenelucene-queries,"update","4.10.2","4.10.3",2015-03-04T12:50:39Z
org.apache.lucenelucene-queries,"update","4.10.1","4.10.2",2014-10-31T18:50:54Z
org.apache.lucenelucene-queries,"update","4.9.0","4.10.1",2014-10-20T21:18:45Z
org.apache.lucenelucene-core,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-core,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-core,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-core,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-core,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-core,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-core,"update","6.4.0","6.4.1",2017-02-17T01:15:34Z
org.apache.lucenelucene-core,"update","6.3.0","6.4.0",2017-01-23T13:54:38Z
org.apache.lucenelucene-core,"update","6.2.0","6.3.0",2016-11-08T14:47:20Z
org.apache.lucenelucene-core,"update","6.1.0","6.2.0",2016-08-29T16:12:12Z
org.apache.lucenelucene-core,"update","6.0.0","6.1.0",2016-06-20T20:08:22Z
org.apache.lucenelucene-core,"update","5.4.0","6.0.0",2016-04-12T14:12:54Z
org.apache.lucenelucene-core,"update","5.3.1","5.4.0",2015-12-16T18:34:20Z
org.apache.lucenelucene-core,"update","5.3.0","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-core,"update","5.2.1","5.3.0",2015-09-11T15:05:25Z
org.apache.lucenelucene-core,"update","4.10.4","5.2.1",2015-06-21T02:35:58Z
org.apache.lucenelucene-core,"update","4.10.3","4.10.4",2015-04-28T16:04:18Z
org.apache.lucenelucene-core,"update","4.10.2","4.10.3",2015-03-04T12:50:39Z
org.apache.lucenelucene-core,"update","4.10.1","4.10.2",2014-10-31T18:50:54Z
org.apache.lucenelucene-core,"update","4.9.0","4.10.1",2014-10-20T21:18:45Z
org.slf4jslf4j-api,"update","1.7.24","1.7.25",2019-02-05T14:35:14Z
org.slf4jslf4j-api,"add","","1.7.24",2019-01-18T13:39:55Z
org.apache.lucenelucene-analyzers-common,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-analyzers-common,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-analyzers-common,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-analyzers-common,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-analyzers-common,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-analyzers-common,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-analyzers-common,"update","6.4.0","6.4.1",2017-02-17T01:15:34Z
org.apache.lucenelucene-analyzers-common,"update","6.3.0","6.4.0",2017-01-23T13:54:38Z
org.apache.lucenelucene-analyzers-common,"update","6.2.0","6.3.0",2016-11-08T14:47:20Z
org.apache.lucenelucene-analyzers-common,"update","6.1.0","6.2.0",2016-08-29T16:12:12Z
org.apache.lucenelucene-analyzers-common,"update","6.0.0","6.1.0",2016-06-20T20:08:22Z
org.apache.lucenelucene-analyzers-common,"update","5.4.0","6.0.0",2016-04-12T14:12:54Z
org.apache.lucenelucene-analyzers-common,"update","5.3.1","5.4.0",2015-12-16T18:34:20Z
org.apache.lucenelucene-analyzers-common,"update","5.3.0","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-analyzers-common,"update","5.2.1","5.3.0",2015-09-11T15:05:25Z
org.apache.lucenelucene-analyzers-common,"update","4.10.4","5.2.1",2015-06-21T02:35:58Z
org.apache.lucenelucene-analyzers-common,"update","4.10.3","4.10.4",2015-04-28T16:04:18Z
org.apache.lucenelucene-analyzers-common,"add","","4.10.3",2015-03-26T02:23:26Z
org.junit.jupiterjunit-jupiter-api,"update","5.3.2","5.4.0",2019-02-11T16:39:48Z
org.junit.jupiterjunit-jupiter-api,"update","5.4.0","5.3.2",2019-02-11T06:55:55Z
org.junit.jupiterjunit-jupiter-api,"update","5.3.2","5.4.0",2019-02-08T07:00:50Z
org.junit.jupiterjunit-jupiter-api,"add","","5.3.2",2019-01-18T13:44:40Z
org.apache.lucenelucene-misc,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-misc,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-misc,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-misc,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-misc,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-misc,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-misc,"add","","6.4.1",2017-02-17T01:15:34Z
org.slf4jslf4j-simple,"update","1.7.24","1.7.25",2019-02-05T14:35:14Z
org.slf4jslf4j-simple,"add","","1.7.24",2019-01-18T13:39:55Z
org.apache.lucenelucene-queryparser,"update","8.0.0-SNAPSHOT","9.0.0-SNAPSHOT",2019-01-25T16:25:07Z
org.apache.lucenelucene-queryparser,"update","6.6.2","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.apache.lucenelucene-queryparser,"update","6.6.0","6.6.2",2018-02-15T14:53:22Z
org.apache.lucenelucene-queryparser,"update","6.5.0","6.6.0",2017-06-07T13:21:53Z
org.apache.lucenelucene-queryparser,"update","6.4.2","6.5.0",2017-03-27T12:01:09Z
org.apache.lucenelucene-queryparser,"update","6.4.1","6.4.2",2017-03-07T20:33:09Z
org.apache.lucenelucene-queryparser,"update","6.4.0","6.4.1",2017-02-17T01:15:34Z
org.apache.lucenelucene-queryparser,"update","6.3.0","6.4.0",2017-01-23T13:54:38Z
org.apache.lucenelucene-queryparser,"update","6.2.0","6.3.0",2016-11-08T14:47:20Z
org.apache.lucenelucene-queryparser,"update","6.1.0","6.2.0",2016-08-29T16:12:12Z
org.apache.lucenelucene-queryparser,"update","6.0.0","6.1.0",2016-06-20T20:08:22Z
org.apache.lucenelucene-queryparser,"update","5.4.0","6.0.0",2016-04-12T14:12:54Z
org.apache.lucenelucene-queryparser,"update","5.3.1","5.4.0",2015-12-16T18:34:20Z
org.apache.lucenelucene-queryparser,"update","5.3.0","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-queryparser,"update","5.2.1","5.3.0",2015-09-11T15:05:25Z
org.apache.lucenelucene-queryparser,"update","4.10.4","5.2.1",2015-06-21T02:35:58Z
org.apache.lucenelucene-queryparser,"update","4.10.3","4.10.4",2015-04-28T16:04:18Z
