library,type,old_version,new_version,commit_date
org.slf4jslf4j-log4j12,"remove","1.7.24","",2019-01-18T13:39:55Z
org.slf4jslf4j-log4j12,"add","","1.7.24",2018-02-15T17:42:36Z
org.slf4jjcl-over-slf4j,"remove","1.7.24","",2019-01-18T13:39:55Z
org.slf4jjcl-over-slf4j,"add","","1.7.24",2018-02-15T17:42:36Z
org.apache.lucenelucene-analyzers-icu,"add","","${lucene.version}",2019-01-18T12:21:01Z
org.apache.logging.log4jlog4j-slf4j-impl,"add","","${log4j.version}",2019-01-18T13:39:55Z
org.tallison.lucenelucene-5205,"update","8.0-SNAPSHOT","9.0-SNAPSHOT",2019-01-25T16:25:07Z
org.tallison.lucenelucene-5205,"update","8.0.0-SNAPSHOT","8.0-SNAPSHOT",2019-01-25T16:14:17Z
org.tallison.lucenelucene-5205,"update","6.6.1","8.0.0-SNAPSHOT",2018-02-15T17:42:36Z
org.tallison.lucenelucene-5205,"update","6.5.1","6.6.1",2017-06-07T13:21:53Z
org.tallison.lucenelucene-5205,"update","6.4.2","6.5.1",2017-03-27T12:01:09Z
org.tallison.lucenelucene-5205,"update","6.4.1","6.4.2",2017-03-24T12:16:31Z
org.tallison.lucenelucene-5205,"update","6.3.1","6.4.1",2017-01-23T13:54:38Z
org.tallison.lucenelucene-5205,"update","6.2.2","6.3.1",2016-11-08T14:47:20Z
org.tallison.lucenelucene-5205,"update","6.2.1","6.2.2",2016-09-23T16:20:52Z
org.tallison.lucenelucene-5205,"update","6.1.2","6.2.1",2016-08-29T16:12:12Z
org.tallison.lucenelucene-5205,"add","","6.1.2",2016-08-09T16:53:54Z
org.junit.jupiterjunit-jupiter-api,"add","","unknown",2019-01-18T13:44:40Z
org.apache.lucenelucene-5317,"remove","1.0","",2015-06-21T02:35:58Z
org.apache.lucenelucene-5317,"add","","1.0",2015-04-01T12:11:31Z
junitjunit,"remove","unknown","",2019-01-18T13:44:40Z
org.apache.lucenelucene-5205,"remove","6.1.1","",2016-08-09T16:53:54Z
org.apache.lucenelucene-5205,"update","6.0.1","6.1.1",2016-07-15T13:17:59Z
org.apache.lucenelucene-5205,"update","5.4.1","6.0.1",2016-04-12T14:12:54Z
org.apache.lucenelucene-5205,"update","5.3.1","5.4.1",2015-12-16T18:34:20Z
org.apache.lucenelucene-5205,"update","5.3.1","5.3.1",2015-12-16T17:15:08Z
org.apache.lucenelucene-5205,"update","5.3.1","5.3.1",2015-10-05T12:48:38Z
org.apache.lucenelucene-5205,"update","1.0","5.3.1",2015-09-11T15:05:25Z
