library,type,old_version,new_version,commit_date
org.apache.logging.log4jlog4j-api,"update","2.17.1","2.17.2",2022-04-08T15:02:46Z
org.apache.logging.log4jlog4j-api,"update","2.17.0","2.17.1",2022-01-05T14:51:12Z
org.apache.logging.log4jlog4j-api,"update","2.15.0","2.17.0",2021-12-30T12:52:35Z
org.apache.logging.log4jlog4j-api,"update","2.3","2.15.0",2021-12-12T16:06:50Z
com.fasterxml.jackson.corejackson-databind,"remove","2.10.4","",2021-09-07T17:30:21Z
org.jetbrains.kotlinkotlin-stdlib,"add","","1.4.10",2022-01-17T06:03:58Z
com.fasterxml.jackson.corejackson-core,"remove","2.10.4","",2021-09-07T17:30:21Z
org.jetbrains.kotlinkotlin-stdlib-common,"remove","1.4.10","",2022-01-22T17:24:26Z
org.jetbrains.kotlinkotlin-stdlib-common,"add","","1.4.10",2022-01-17T06:03:58Z
org.elasticsearchelasticsearch,"update","8.3.0","8.3.1",2022-07-04T15:50:21Z
org.elasticsearchelasticsearch,"update","8.2.3","8.3.0",2022-07-01T16:16:49Z
org.elasticsearchelasticsearch,"update","8.2.2","8.2.3",2022-07-01T16:16:35Z
org.elasticsearchelasticsearch,"update","8.2.1","8.2.2",2022-07-01T16:16:20Z
org.elasticsearchelasticsearch,"update","8.2.0","8.2.1",2022-07-01T16:16:07Z
org.elasticsearchelasticsearch,"update","8.1.3","8.2.0",2022-07-01T16:15:51Z
org.elasticsearchelasticsearch,"update","8.1.2","8.1.3",2022-07-01T16:15:37Z
org.elasticsearchelasticsearch,"update","8.1.1","8.1.2",2022-07-01T16:15:22Z
org.elasticsearchelasticsearch,"update","8.1.0","8.1.1",2022-07-01T16:15:08Z
org.elasticsearchelasticsearch,"update","8.0.1","8.1.0",2022-07-01T16:14:53Z
org.elasticsearchelasticsearch,"update","8.0.0","8.0.1",2022-07-01T16:14:38Z
org.elasticsearchelasticsearch,"update","7.17.2","8.0.0",2022-07-01T16:14:23Z
org.elasticsearchelasticsearch,"update","7.17.1","7.17.2",2022-07-01T16:14:08Z
org.elasticsearchelasticsearch,"update","7.17.0","7.17.1",2022-07-01T16:13:53Z
org.elasticsearchelasticsearch,"update","7.16.3","7.17.0",2022-07-01T16:13:39Z
org.elasticsearchelasticsearch,"update","7.16.2","7.16.3",2022-07-01T16:13:24Z
org.elasticsearchelasticsearch,"update","7.16.0","7.16.2",2022-07-01T16:13:08Z
org.elasticsearchelasticsearch,"update","7.15.2","7.16.0",2022-07-01T16:12:40Z
org.elasticsearchelasticsearch,"update","7.15.1","7.15.2",2022-07-01T16:11:44Z
org.elasticsearchelasticsearch,"update","7.15.0","7.15.1",2022-07-01T16:11:29Z
org.elasticsearchelasticsearch,"update","7.14.2","7.15.0",2022-07-01T16:11:14Z
org.elasticsearchelasticsearch,"update","7.14.1","7.14.2",2022-07-01T16:10:59Z
org.elasticsearchelasticsearch,"update","7.14.0","7.14.1",2022-07-01T16:10:44Z
org.elasticsearchelasticsearch,"update","7.13.4","7.14.0",2022-07-01T16:10:29Z
org.elasticsearchelasticsearch,"update","7.13.3","7.13.4",2022-07-01T16:10:12Z
org.elasticsearchelasticsearch,"update","7.13.2","7.13.3",2022-07-01T16:09:57Z
org.elasticsearchelasticsearch,"update","7.13.1","7.13.2",2022-07-01T16:09:42Z
org.elasticsearchelasticsearch,"update","7.13.0","7.13.1",2022-07-01T16:09:28Z
org.elasticsearchelasticsearch,"update","7.12.1","7.13.0",2022-07-01T16:09:13Z
org.elasticsearchelasticsearch,"update","7.12.0","7.12.1",2022-07-01T16:08:19Z
org.elasticsearchelasticsearch,"update","7.11.2","7.12.0",2022-07-01T16:06:53Z
org.elasticsearchelasticsearch,"update","7.11.1","7.11.2",2022-07-01T16:06:37Z
org.elasticsearchelasticsearch,"update","7.10.2","7.11.1",2022-07-01T16:06:22Z
org.elasticsearchelasticsearch,"update","7.10.1","7.10.2",2022-07-01T16:06:06Z
org.elasticsearchelasticsearch,"update","7.10.0","7.10.1",2022-07-01T16:05:52Z
org.elasticsearchelasticsearch,"update","7.9.3","7.10.0",2022-07-01T16:05:36Z
org.elasticsearchelasticsearch,"update","7.9.2","7.9.3",2022-07-01T16:05:21Z
org.elasticsearchelasticsearch,"update","7.9.1","7.9.2",2022-07-01T16:05:06Z
org.elasticsearchelasticsearch,"update","7.9.0","7.9.1",2022-07-01T16:04:52Z
