library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"add","","4.1.7.RELEASE",2015-09-14T10:14:52Z
commons-iocommons-io,"add","","2.4",2015-09-17T09:32:46Z
commons-iocommons-io,"remove","2.4","",2015-09-16T14:02:48Z
commons-iocommons-io,"add","","2.4",2015-09-15T19:34:59Z
org.springframeworkspring-context,"add","","4.1.7.RELEASE",2015-09-14T10:14:52Z
org.springframeworkspring-jdbc,"add","","4.1.7.RELEASE",2015-09-14T10:14:52Z
org.apache.commonscommons-dbcp2,"add","","2.1.1",2015-09-08T23:21:59Z
org.springframeworkspring-test,"add","","4.1.7.RELEASE",2015-09-14T10:14:52Z
org.springframeworkspring-aop,"add","","4.1.7.RELEASE",2015-09-14T10:14:52Z
org.aspectjaspectjweaver,"add","","1.8.6",2015-09-14T10:14:52Z
org.aspectjaspectjrt,"add","","1.8.6",2015-09-14T10:14:52Z
org.testngtestng,"add","","6.9.6",2015-09-15T11:31:09Z
