library,type,old_version,new_version,commit_date
org.apache.solrsolr-solrj,"remove","unknown","",2015-03-12T09:01:47Z
ch.qos.logbacklogback-core,"add","","unknown",2015-03-12T12:34:29Z
org.mybatismybatis-spring,"add","","unknown",2015-07-04T10:43:09Z
org.slf4jslf4j-api,"add","","unknown",2015-03-12T12:34:29Z
org.slf4jslf4j-api,"remove","unknown","",2015-03-12T09:01:47Z
${project.groupId}sentiment-solr,"remove","${project.version}","",2015-03-12T09:01:47Z
ch.qos.logbacklogback-access,"add","","unknown",2015-03-12T12:34:29Z
${project.groupId}sentiment-dao,"remove","${project.version}","",2015-07-04T10:43:09Z
${project.groupId}sentiment-dao,"add","","${project.version}",2015-03-12T11:06:29Z
${project.groupId}sentiment-dao,"remove","${project.version}","",2015-03-12T09:01:47Z
mysqlmysql-connector-java,"add","","unknown",2015-07-04T10:43:09Z
org.codehaus.jacksonjackson-core-asl,"add","","unknown",2015-03-12T12:34:29Z
org.codehaus.jacksonjackson-core-asl,"remove","unknown","",2015-03-12T09:01:47Z
${project.groupId}sentiment-core,"remove","${project.version}","",2015-03-12T09:01:47Z
ch.qos.logbacklogback-classic,"add","","unknown",2015-03-12T12:34:29Z
org.mybatismybatis,"add","","unknown",2015-07-04T10:43:09Z
zx.softredis-client,"remove","1.2.0","",2015-03-12T09:01:47Z
info.hbriak-cluster,"add","","1.0.0",2015-06-29T00:22:56Z
org.codehaus.jacksonjackson-mapper-asl,"add","","unknown",2015-03-12T12:34:29Z
org.codehaus.jacksonjackson-mapper-asl,"remove","unknown","",2015-03-12T09:01:47Z
commons-dbcpcommons-dbcp,"add","","unknown",2015-07-04T10:43:09Z
