library,type,old_version,new_version,commit_date
org.slf4jslf4j-log4j12,"remove","unknown","",2014-11-10T01:05:08Z
org.slf4jslf4j-api,"add","","unknown",2014-12-02T03:28:37Z
org.slf4jslf4j-api,"remove","unknown","",2014-11-10T01:05:08Z
oracle.jdbcojdbc,"add","","unknown",2014-12-24T05:53:56Z
mysqlmysql-connector-java,"add","","unknown",2014-12-28T09:04:35Z
mysqlmysql-connector-java,"remove","unknown","",2014-12-02T03:28:37Z
zx.softcommon-utils,"remove","1.0.0","",2014-12-03T12:11:42Z
zx.softcommon-utils,"add","","1.0.0",2014-11-21T07:38:10Z
org.codehaus.jacksonjackson-core-asl,"remove","unknown","",2014-12-02T03:28:37Z
org.codehaus.jacksonjackson-mapper-asl,"remove","unknown","",2014-12-02T03:28:37Z
org.apache.httpcomponentshttpasyncclient,"remove","4.0-beta4","",2014-12-02T03:28:37Z
commons-dbcpcommons-dbcp,"add","","unknown",2014-04-24T01:05:20Z
com.sleepycatje,"add","","5.0.73",2014-05-23T10:35:00Z
${project.groupId}sentiment-utils,"remove","${project.version}","",2014-11-21T07:38:10Z
${project.groupId}sentiment-utils,"add","","${project.version}",2014-04-24T01:05:20Z
