library,type,old_version,new_version,commit_date
${project.groupId}sentiment-cache,"remove","${project.version}","",2014-11-21T07:38:10Z
${project.groupId}sentiment-cache,"add","","${project.version}",2014-08-29T08:27:00Z
commons-loggingcommons-logging,"remove","unknown","",2014-11-10T01:05:08Z
zx.softnegative-sentiment,"update","1.0.0","2.0.0",2014-12-16T04:41:37Z
zx.softnegative-sentiment,"add","","1.0.0",2014-09-09T12:56:57Z
org.slf4jslf4j-log4j12,"remove","unknown","",2014-11-10T01:05:08Z
org.apache.solrsolr-core,"remove","unknown","",2014-12-02T03:28:37Z
org.slf4jslf4j-api,"add","","unknown",2014-12-02T03:28:37Z
org.slf4jslf4j-api,"remove","unknown","",2014-11-10T01:05:08Z
oracle.jdbcojdbc,"remove","unknown","",2014-12-02T03:28:37Z
zx.softcommon-utils,"remove","1.0.0","",2014-12-03T12:11:42Z
zx.softcommon-utils,"add","","1.0.0",2014-12-02T03:28:37Z
${project.groupId}sentiment-core,"add","","${project.version}",2015-02-02T06:54:13Z
javax.servletservlet-api,"remove","unknown","",2014-12-02T03:28:37Z
cc.pp.studyanalyzer-ik,"remove","1.0.0","",2014-12-02T03:28:37Z
cc.pp.studyanalyzer-ik,"update","unknown","1.0.0",2014-11-21T07:38:10Z
cc.pp.studyanalyzer-ik,"update","1.0.0","unknown",2014-11-10T04:13:44Z
cc.pp.studyanalyzer-ik,"add","","1.0.0",2014-09-10T03:49:07Z
redis.clientsjedis,"add","","unknown",2015-02-27T09:06:49Z
zx.softredis-client,"update","1.2.0","1.3.0",2015-01-12T05:39:22Z
zx.softredis-client,"add","","1.2.0",2014-11-21T07:38:10Z
${project.groupId}sentiment-algorithm,"remove","${project.version}","",2014-11-10T01:05:08Z
${project.groupId}sentiment-algorithm,"add","","${project.version}",2014-09-09T12:56:57Z
org.codehaus.jacksonjackson-mapper-asl,"add","","1.9.13",2015-02-27T09:06:49Z
org.codehaus.jacksonjackson-mapper-asl,"remove","unknown","",2014-12-02T03:28:37Z
