library,type,old_version,new_version,commit_date
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2015-11-10T07:44:10Z
com.fasterxml.jackson.corejackson-core,"add","","unknown",2015-11-10T07:44:10Z
commons-loggingcommons-logging,"remove","unknown","",2014-11-10T01:05:08Z
commons-langcommons-lang,"remove","unknown","",2014-12-02T03:28:37Z
commons-langcommons-lang,"add","","unknown",2014-05-26T05:19:28Z
commons-httpclientcommons-httpclient,"remove","unknown","",2014-12-02T03:28:37Z
commons-httpclientcommons-httpclient,"add","","unknown",2014-05-26T05:19:28Z
ch.qos.logbacklogback-core,"add","","unknown",2014-11-10T01:05:08Z
org.slf4jslf4j-log4j12,"remove","unknown","",2014-11-10T01:05:08Z
org.apache.jamesapache-mime4j,"remove","unknown","",2014-12-02T03:28:37Z
org.apache.jamesapache-mime4j,"add","","unknown",2014-05-26T05:19:28Z
org.apache.httpcomponentshttpclient,"remove","4.3.1","",2014-12-02T03:28:37Z
org.apache.httpcomponentshttpclient,"add","","4.3.1",2014-05-26T05:19:28Z
${project.groupId}sentiment-solr,"add","","${project.version}",2015-01-14T09:20:50Z
commons-beanutilscommons-beanutils,"remove","unknown","",2014-12-02T03:28:37Z
commons-beanutilscommons-beanutils,"add","","unknown",2014-05-26T05:19:28Z
ch.qos.logbacklogback-access,"add","","unknown",2014-11-10T01:05:08Z
${project.groupId}sentiment-dao,"add","","${project.version}",2015-01-14T09:20:50Z
oracle.jdbcojdbc,"remove","unknown","",2014-05-26T05:19:28Z
zx.softcommon-utils,"add","","1.3.2",2015-11-10T07:44:10Z
zx.softcommon-utils,"remove","1.0.0","",2014-12-03T12:11:42Z
zx.softcommon-utils,"add","","1.0.0",2014-12-02T03:28:37Z
org.codehaus.jacksonjackson-core-asl,"remove","unknown","",2014-12-02T03:28:37Z
zx.softweibo-core,"update","1.2.0","1.3.2",2015-11-10T07:44:10Z
zx.softweibo-core,"add","","1.2.0",2015-01-14T09:20:50Z
ch.qos.logbacklogback-classic,"add","","unknown",2014-11-10T01:05:08Z
dom4jdom4j,"add","","1.6.1",2015-02-06T09:14:57Z
org.slf4jjcl-over-slf4j,"remove","unknown","",2014-12-02T03:28:37Z
org.slf4jjcl-over-slf4j,"add","","unknown",2014-11-10T01:05:08Z
zx.softredis-client,"add","","1.3.0",2015-01-14T09:20:50Z
commons-clicommons-cli,"remove","unknown","",2014-12-02T03:28:37Z
commons-clicommons-cli,"add","","unknown",2014-05-26T05:19:28Z
org.codehaus.jacksonjackson-mapper-asl,"remove","unknown","",2014-12-02T03:28:37Z
