library,type,old_version,new_version,commit_date
org.restlet.jseorg.restlet.ext.jackson,"remove","unknown","",2014-12-16T10:39:18Z
org.apache.solrsolr-solrj,"add","","unknown",2014-12-02T03:28:37Z
com.fasterxml.jackson.corejackson-databind,"remove","unknown","",2014-12-16T10:39:18Z
com.fasterxml.jackson.corejackson-databind,"update","2.2.3","unknown",2014-12-03T12:03:22Z
com.fasterxml.jackson.corejackson-databind,"add","","2.2.3",2014-12-02T03:28:37Z
org.slf4jslf4j-api,"add","","unknown",2014-12-02T03:28:37Z
com.googlecode.json-simplejson-simple,"remove","unknown","",2014-05-20T07:32:03Z
com.googlecode.json-simplejson-simple,"add","","unknown",2014-05-07T13:07:11Z
org.restlet.jseorg.restlet.ext.slf4j,"remove","unknown","",2014-04-24T12:58:38Z
${project.groupId}sentiment-solr,"add","","${project.version}",2014-12-02T03:28:37Z
${project.groupId}sentiment-solr,"remove","${project.version}","",2014-08-29T08:27:00Z
${project.groupId}sentiment-dao,"add","","${project.version}",2014-12-02T03:28:37Z
org.restlet.jseorg.restlet.ext.xml,"remove","unknown","",2014-04-24T12:58:38Z
zx.softcommon-utils,"remove","1.0.0","",2014-12-03T12:11:42Z
zx.softcommon-utils,"add","","1.0.0",2014-12-02T03:28:37Z
org.codehaus.jacksonjackson-core-asl,"add","","unknown",2014-05-20T07:32:03Z
${project.groupId}sentiment-core,"add","","${project.version}",2014-04-29T11:43:57Z
org.restlet.jseorg.restlet.ext.json,"remove","unknown","",2014-04-24T12:58:38Z
javax.injectjavax.inject,"remove","unknown","",2014-12-16T10:39:18Z
javax.injectjavax.inject,"add","","unknown",2014-04-24T12:58:38Z
org.restlet.jseorg.restlet.ext.simple,"remove","unknown","",2014-12-02T03:28:37Z
com.fasterxml.jackson.corejackson-annotations,"remove","unknown","",2014-12-16T10:39:18Z
com.fasterxml.jackson.corejackson-annotations,"update","2.2.3","unknown",2014-12-10T04:59:52Z
com.fasterxml.jackson.corejackson-annotations,"add","","2.2.3",2014-12-02T03:28:37Z
redis.clientsjedis,"add","","unknown",2015-03-19T06:28:30Z
zx.softredis-client,"add","","1.2.0",2014-12-02T03:28:37Z
junitjunit,"add","","unknown",2014-04-24T11:51:41Z
com.googlecode.objectifyobjectify,"remove","4.1.3","",2014-12-16T10:39:18Z
com.googlecode.objectifyobjectify,"add","","4.1.3",2014-04-24T12:58:38Z
org.codehaus.jacksonjackson-mapper-asl,"add","","unknown",2014-05-20T07:32:03Z
${project.groupId}sentiment-utils,"remove","${project.version}","",2014-04-29T11:43:57Z
${project.groupId}sentiment-utils,"add","","${project.version}",2014-04-22T13:14:52Z
