library,type,old_version,new_version,commit_date
commons-iocommons-io,"update","2.4","2.5",2016-07-24T17:32:28Z
commons-iocommons-io,"update","2.3","2.4",2012-09-10T20:29:56Z
commons-iocommons-io,"add","","2.3",2012-04-15T12:57:33Z
commons-collectionscommons-collections,"add","","3.2.1",2011-11-20T17:14:00Z
commons-langcommons-lang,"update","2.5","2.6",2011-01-22T17:28:19Z
commons-langcommons-lang,"add","","2.5",2010-12-11T21:13:32Z
org.slf4jslf4j-log4j12,"update","1.7.7","1.7.12",2015-04-12T21:28:38Z
org.slf4jslf4j-log4j12,"update","1.6.4","1.7.7",2014-07-13T20:59:07Z
org.slf4jslf4j-log4j12,"update","1.6.2","1.6.4",2011-11-20T17:14:00Z
org.slf4jslf4j-log4j12,"add","","1.6.2",2011-10-02T17:39:21Z
org.slf4jslf4j-api,"update","1.7.7","1.7.12",2015-04-12T21:28:38Z
org.slf4jslf4j-api,"update","1.6.4","1.7.7",2014-07-13T20:59:07Z
org.slf4jslf4j-api,"update","1.6.2","1.6.4",2011-11-20T17:14:00Z
org.slf4jslf4j-api,"add","","1.6.2",2011-10-02T17:39:21Z
com.google.code.findbugsjsr305,"update","2.0.0","3.0.0",2014-12-06T17:20:26Z
com.google.code.findbugsjsr305,"update","1.3.9","2.0.0",2012-01-27T20:40:30Z
com.google.code.findbugsjsr305,"add","","1.3.9",2010-12-12T17:49:28Z
log4jlog4j,"update","1.2.16","1.2.17",2012-09-10T20:29:56Z
log4jlog4j,"add","","1.2.16",2010-12-11T21:13:32Z
junitjunit,"update","4.10","4.12",2015-04-12T21:28:38Z
junitjunit,"update","4.9","4.10",2011-11-20T17:14:00Z
junitjunit,"update","4.8.2","4.9",2011-09-24T21:55:27Z
junitjunit,"add","","4.8.2",2010-12-11T21:13:32Z
