library,type,old_version,new_version,commit_date
org.springframeworkspring-core,"update","4.2.3.RELEASE","4.3.1.RELEASE",2016-07-24T17:32:28Z
org.springframeworkspring-core,"update","4.1.6.RELEASE","4.2.3.RELEASE",2015-11-24T22:38:30Z
org.springframeworkspring-core,"update","4.1.2.RELEASE","4.1.6.RELEASE",2015-04-12T21:28:38Z
org.springframeworkspring-core,"update","3.1.0.RELEASE","4.1.2.RELEASE",2014-12-06T17:20:26Z
org.springframeworkspring-core,"update","3.0.6.RELEASE","3.1.0.RELEASE",2012-01-27T20:40:30Z
org.springframeworkspring-core,"update","3.0.5.RELEASE","3.0.6.RELEASE",2011-09-24T21:55:27Z
org.springframeworkspring-core,"update","3.0.4.RELEASE","3.0.5.RELEASE",2010-11-20T15:40:50Z
com.fasterxml.jackson.corejackson-databind,"update","2.5.2","2.6.3",2015-11-24T22:38:30Z
com.fasterxml.jackson.corejackson-databind,"update","2.4.4","2.5.2",2015-04-12T21:28:38Z
com.fasterxml.jackson.corejackson-databind,"add","","2.4.4",2014-12-06T20:21:56Z
ZloSearcherxmlfp,"update","1.0","2.0",2015-12-11T00:03:37Z
ZloSearcherxmlfp,"update","0.7","1.0",2014-09-05T23:41:18Z
ZloSearcherxmlfp,"add","","0.7",2012-03-27T16:16:23Z
org.liquibaseliquibase-core,"update","3.4.1","3.5.1",2016-07-24T17:32:28Z
org.liquibaseliquibase-core,"update","3.3.2","3.4.1",2015-11-24T22:38:30Z
org.liquibaseliquibase-core,"update","3.3.0","3.3.2",2015-04-12T21:28:38Z
org.liquibaseliquibase-core,"update","3.2.2","3.3.0",2014-12-06T17:20:26Z
org.liquibaseliquibase-core,"add","","3.2.2",2014-08-20T20:56:35Z
org.apache.tomcatcom.springsource.org.apache.tomcat.jdbc,"add","","1.0.9.3",2011-03-19T16:24:13Z
org.springframeworkspring-context,"update","4.2.3.RELEASE","4.3.1.RELEASE",2016-07-24T17:32:28Z
org.springframeworkspring-context,"update","4.1.6.RELEASE","4.2.3.RELEASE",2015-11-24T22:38:30Z
org.springframeworkspring-context,"update","4.1.2.RELEASE","4.1.6.RELEASE",2015-04-12T21:28:38Z
org.springframeworkspring-context,"update","3.1.0.RELEASE","4.1.2.RELEASE",2014-12-06T17:20:26Z
org.springframeworkspring-context,"update","3.0.6.RELEASE","3.1.0.RELEASE",2012-01-27T20:40:30Z
org.springframeworkspring-context,"update","3.0.5.RELEASE","3.0.6.RELEASE",2011-09-24T21:55:27Z
org.springframeworkspring-context,"update","3.0.4.RELEASE","3.0.5.RELEASE",2010-11-20T15:40:50Z
commons-langcommons-lang,"update","2.5","unknown",2010-12-11T21:13:32Z
com.google.guavaguava,"remove","11.0.1","",2012-03-20T20:44:03Z
com.google.guavaguava,"add","","11.0.1",2012-02-11T20:53:00Z
log4jlog4j,"update","1.2.16","unknown",2010-12-11T21:13:32Z
org.springframeworkspring-beans,"update","4.2.3.RELEASE","4.3.1.RELEASE",2016-07-24T17:32:28Z
org.springframeworkspring-beans,"update","4.1.6.RELEASE","4.2.3.RELEASE",2015-11-24T22:38:30Z
org.springframeworkspring-beans,"update","4.1.2.RELEASE","4.1.6.RELEASE",2015-04-12T21:28:38Z
org.springframeworkspring-beans,"update","3.1.0.RELEASE","4.1.2.RELEASE",2014-12-06T17:20:26Z
org.springframeworkspring-beans,"update","3.0.6.RELEASE","3.1.0.RELEASE",2012-01-27T20:40:30Z
org.springframeworkspring-beans,"update","3.0.5.RELEASE","3.0.6.RELEASE",2011-09-24T21:55:27Z
org.springframeworkspring-beans,"update","3.0.4.RELEASE","3.0.5.RELEASE",2010-11-20T15:40:50Z
commons-iocommons-io,"update","2.1","unknown",2012-04-15T12:57:33Z
commons-iocommons-io,"add","","2.1",2012-01-29T14:19:36Z
org.springframeworkspring-context-support,"update","4.2.3.RELEASE","4.3.1.RELEASE",2016-07-24T17:32:28Z
org.springframeworkspring-context-support,"update","4.1.6.RELEASE","4.2.3.RELEASE",2015-11-24T22:38:30Z
org.springframeworkspring-context-support,"update","4.1.2.RELEASE","4.1.6.RELEASE",2015-04-12T21:28:38Z
org.springframeworkspring-context-support,"update","3.1.0.RELEASE","4.1.2.RELEASE",2014-12-06T17:20:26Z
org.springframeworkspring-context-support,"update","3.0.6.RELEASE","3.1.0.RELEASE",2012-01-27T20:40:30Z
org.springframeworkspring-context-support,"update","3.0.5.RELEASE","3.0.6.RELEASE",2011-09-24T21:55:27Z
org.springframeworkspring-context-support,"update","3.0.4.RELEASE","3.0.5.RELEASE",2010-11-20T15:40:50Z
org.imgscalrimgscalr-lib,"add","","4.2",2016-07-24T21:52:25Z
ZloSearcherxonix-utils,"update","1.0","2.0",2015-12-11T00:03:37Z
ZloSearcherxonix-utils,"update","0.7","1.0",2014-09-05T23:41:18Z
ZloSearcherxonix-utils,"add","","0.7",2012-03-27T16:16:23Z
org.apache.lucenelucene-analyzers,"remove","3.6.2","",2015-12-06T14:26:31Z
org.apache.lucenelucene-analyzers,"update","3.6.0","3.6.2",2014-07-13T20:59:07Z
org.apache.lucenelucene-analyzers,"update","3.5.0","3.6.0",2012-04-15T12:57:33Z
org.apache.lucenelucene-analyzers,"update","3.4.0","3.5.0",2011-11-27T15:40:05Z
org.apache.lucenelucene-analyzers,"update","3.1.0","3.4.0",2011-09-24T21:55:27Z
org.apache.lucenelucene-analyzers,"update","3.0.3","3.1.0",2011-04-25T13:36:28Z
org.apache.lucenelucene-analyzers,"update","2.9.3","3.0.3",2011-03-19T22:46:00Z
org.eclipse.jettyjetty-util,"update","8.1.2.v20120308","9.3.10.v20160621",2016-07-24T18:03:22Z
