library,type,old_version,new_version,commit_date
org.apache.tilestiles-api,"add","","2.2.2",2010-10-10T14:50:02Z
commons-collectionscommons-collections,"update","3.2.1","unknown",2011-11-20T17:14:00Z
commons-collectionscommons-collections,"add","","3.2.1",2011-01-22T16:45:39Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","3.0.4","3.0.7",2015-11-24T22:38:30Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","3.0.1","3.0.4",2015-04-12T21:28:38Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.5.2","3.0.1",2014-08-23T18:58:14Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.5.0","2.5.2",2012-04-15T12:57:33Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.3.4","2.5.0",2011-11-27T14:55:09Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.4.0","2.3.4",2011-04-26T09:22:06Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.3.3","2.4.0",2011-04-25T13:36:28Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.3.2","2.3.3",2011-03-19T23:21:07Z
org.apache.cxfcxf-rt-frontend-jaxws,"update","2.3.1","2.3.2",2011-01-22T17:28:19Z
org.apache.cxfcxf-rt-frontend-jaxws,"add","","2.3.1",2010-12-11T23:28:23Z
org.apache.tomcatservlet-api,"remove","6.0.29","",2010-11-21T17:56:13Z
com.googlecode.json-simplejson-simple,"update","1.1","1.1.1",2012-04-15T12:57:33Z
com.googlecode.json-simplejson-simple,"add","","1.1",2011-09-25T20:44:52Z
javax.servletjstl,"add","","1.2",2010-10-10T15:44:04Z
ZloSearcherzlo_search,"update","1.0","2.0",2015-12-11T00:03:37Z
ZloSearcherzlo_search,"update","0.7","1.0",2014-09-05T23:41:18Z
ZloSearcherzlo_search,"update","0.2","0.7",2011-11-20T17:45:10Z
ZloSearcherzlo_search,"update","1.0-SNAPSHOT","0.2",2010-11-20T15:40:50Z
org.apache.geronimo.ext.tomcatcatalina,"remove","6.0.33.1","",2012-04-15T12:57:33Z
org.apache.geronimo.ext.tomcatcatalina,"add","","6.0.33.1",2011-11-27T14:55:09Z
org.apache.tilestiles-jsp,"add","","2.2.2",2010-10-10T14:50:02Z
javax.servletservlet-api,"remove","2.5","",2014-07-21T22:21:57Z
javax.servletservlet-api,"add","","2.5",2010-11-21T17:56:13Z
com.rometoolsrome,"update","1.5.0","1.5.1",2015-11-24T22:38:30Z
com.rometoolsrome,"add","","1.5.0",2014-08-18T14:16:08Z
javax.servletjavax.servlet-api,"add","","3.0.1",2014-07-21T22:21:57Z
informainforma,"remove","0.6.0","",2014-08-18T14:16:08Z
org.apache.tilestiles-core,"add","","2.2.2",2010-10-10T14:50:02Z
org.apache.cxfcxf-rt-transports-http,"update","3.0.4","3.0.7",2015-11-24T22:38:30Z
org.apache.cxfcxf-rt-transports-http,"update","3.0.1","3.0.4",2015-04-12T21:28:38Z
org.apache.cxfcxf-rt-transports-http,"update","2.5.2","3.0.1",2014-08-23T18:58:14Z
org.apache.cxfcxf-rt-transports-http,"update","2.5.0","2.5.2",2012-04-15T12:57:33Z
org.apache.cxfcxf-rt-transports-http,"update","2.3.4","2.5.0",2011-11-27T14:55:09Z
org.apache.cxfcxf-rt-transports-http,"update","2.4.0","2.3.4",2011-04-26T09:22:06Z
org.apache.cxfcxf-rt-transports-http,"update","2.3.3","2.4.0",2011-04-25T13:36:28Z
org.apache.cxfcxf-rt-transports-http,"update","2.3.2","2.3.3",2011-03-19T23:21:07Z
org.apache.cxfcxf-rt-transports-http,"update","2.3.1","2.3.2",2011-01-22T17:28:19Z
org.apache.cxfcxf-rt-transports-http,"add","","2.3.1",2010-12-11T23:28:23Z
junitjunit,"update","4.8.2","unknown",2010-12-11T21:13:32Z
junitjunit,"add","","4.8.2",2010-10-10T15:44:04Z
org.apache.tomcatjsp-api,"update","6.0.29","6.0.30",2011-01-22T17:28:19Z
