library,type,old_version,new_version,commit_date
org.apache.lucenelucene-backward-codecs,"remove","7.2.0","",2018-11-27T15:09:34Z
org.apache.lucenelucene-backward-codecs,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
org.apache.lucenelucene-backward-codecs,"add","","7.3.1",2018-05-24T11:42:56Z
com.fasterxml.jackson.corejackson-databind,"remove","2.9.5","",2018-12-14T08:45:21Z
com.fasterxml.jackson.corejackson-databind,"add","","2.9.5",2018-05-22T10:41:04Z
org.apache.commonscommons-lang3,"remove","3.8.1","",2019-05-08T07:13:05Z
org.apache.commonscommons-lang3,"update","3.7","3.8.1",2018-11-27T15:09:34Z
org.apache.commonscommons-lang3,"add","","3.7",2018-05-23T11:06:54Z
com.google.guavaguava,"add","","28.0-jre",2019-08-29T12:04:37Z
org.slf4jslf4j-api,"add","","1.7.25",2018-07-24T07:30:34Z
org.junit.jupiterjunit-jupiter-api,"add","","5.5.0-M1",2019-05-08T07:13:05Z
org.ansjansj_seg,"remove","5.1.1","",2018-11-27T15:09:34Z
org.ansjansj_seg,"add","","5.1.1",2018-11-09T11:14:09Z
log4jlog4j,"add","","1.2.17",2018-07-24T07:30:34Z
org.apache.lucenelucene-memory,"remove","7.2.0","",2019-05-08T07:13:05Z
org.apache.lucenelucene-memory,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
cglibcglib,"remove","3.2.9","",2019-09-04T02:05:49Z
cglibcglib,"add","","3.2.9",2018-11-27T15:09:34Z
cglibcglib,"remove","3.2.6","",2018-07-24T08:20:44Z
cglibcglib,"add","","3.2.6",2018-05-23T11:06:54Z
junitjunit,"remove","3.8.1","",2018-05-28T06:21:16Z
org.apache.lucenelucene-spatial,"remove","7.2.0","",2019-05-08T07:13:05Z
org.apache.lucenelucene-spatial,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
com.fasterxml.jackson.corejackson-core,"remove","2.9.5","",2018-12-14T08:45:21Z
com.fasterxml.jackson.corejackson-core,"add","","2.9.5",2018-05-22T10:41:04Z
org.slf4jslf4j-log4j12,"add","","1.7.25",2018-07-24T07:30:34Z
org.apache.lucenelucene-highlighter,"update","7.2.0","8.2.0",2019-08-29T12:04:37Z
org.apache.lucenelucene-highlighter,"add","","7.2.0",2019-05-30T12:12:58Z
org.apache.lucenelucene-highlighter,"remove","7.2.0","",2019-05-08T07:13:05Z
org.apache.lucenelucene-highlighter,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
cglibcglib-nodep,"remove","3.2.6","",2018-07-24T08:20:44Z
cglibcglib-nodep,"add","","3.2.6",2018-05-23T11:06:54Z
com.alibabafastjson,"add","","1.2.54",2018-12-14T08:45:21Z
net.sf.ehcacheehcache,"remove","2.10.5","",2018-11-27T15:09:34Z
net.sf.ehcacheehcache,"add","","2.10.5",2018-11-09T11:14:09Z
org.apache.lucenelucene-queryparser,"update","7.2.0","8.2.0",2019-08-29T12:04:37Z
org.apache.lucenelucene-queryparser,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
com.hankcshanlp,"remove","portable-1.6.8","",2018-11-27T15:09:34Z
com.hankcshanlp,"add","","portable-1.6.8",2018-11-09T11:14:09Z
org.apache.lucenelucene-queries,"update","7.2.0","8.2.0",2019-08-29T12:04:37Z
org.apache.lucenelucene-queries,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
org.apache.lucenelucene-core,"update","7.2.0","8.2.0",2019-08-29T12:04:37Z
org.apache.lucenelucene-core,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
javax.servletjavax.servlet-api,"remove","4.0.1","",2019-05-08T07:13:05Z
javax.servletjavax.servlet-api,"add","","4.0.1",2018-12-14T08:45:21Z
org.apache.lucenelucene-analyzers-common,"update","7.2.0","8.2.0",2019-08-29T12:04:37Z
org.apache.lucenelucene-analyzers-common,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
org.nlpcnnlp-lang,"remove","1.7.7","",2018-11-27T15:09:34Z
org.nlpcnnlp-lang,"add","","1.7.7",2018-07-24T07:30:34Z
org.apache.lucenelucene-misc,"remove","7.2.0","",2018-11-27T15:09:34Z
org.apache.lucenelucene-misc,"update","7.3.1","7.2.0",2018-07-24T07:30:34Z
com.jfinaljfinal,"add","","3.5",2018-12-14T08:45:21Z
