library,type,old_version,new_version,commit_date
org.codehaus.woodstoxwstx-asl,"remove","3.2.7","",2015-05-12T05:29:59Z
org.apache.solrsolr-solrj,"remove","4.3.0","",2015-05-12T05:29:59Z
org.apache.lucenelucene-grouping,"add","","4.3.0",2014-09-28T13:45:35Z
org.slf4jslf4j-log4j12,"remove","1.6.6","",2015-05-12T05:29:59Z
org.apache.zookeeperzookeeper,"remove","3.4.5","",2015-05-12T05:29:59Z
org.wlteaanalyzer,"add","","2012",2015-05-12T05:29:59Z
org.slf4jslf4j-api,"remove","1.6.6","",2015-05-12T05:29:59Z
org.slf4jjcl-over-slf4j,"remove","1.6.6","",2015-05-12T05:29:59Z
org.apache.httpcomponentshttpclient,"remove","4.2.3","",2015-05-12T05:29:59Z
org.apache.httpcomponentshttpmime,"remove","4.2.3","",2015-05-12T05:29:59Z
org.noggitnoggit,"remove","0.5","",2015-05-12T05:29:59Z
org.apache.httpcomponentshttpcore,"remove","4.2.2","",2015-05-12T05:29:59Z
