library,version_id,count
org.apache.lucene.morpholgydictionary-reader,0.7,1
org.apache.lucene.morpholgyenglish,0.7,2
org.apache.lucene.morpholgyenglish,0.7.1,1
org.apache.lucene.morpholgyenglish,0.8,1
org.apache.lucene.morpholgyenglish,0.9,1
org.apache.lucene.morpholgymorph,0.7,6
org.apache.lucene.morpholgymorph,0.7.1,2
org.apache.lucene.morpholgymorph,0.8,2
org.apache.lucene.morpholgymorph,0.9,2
org.apache.lucene.morpholgyrussian,0.7,2
org.apache.lucene.morpholgyrussian,0.7.1,1
org.apache.lucene.morpholgyrussian,0.8,1
org.apache.lucene.morpholgyrussian,0.9,1
org.apache.lucene.morphologyenglish,0.7,1
org.apache.lucene.morphologyenglish,0.8,2
org.apache.lucene.morphologyenglish,0.9,1
org.apache.lucene.morphologyenglish,1.0,2
org.apache.lucene.morphologyenglish,1.1,2
org.apache.lucene.morphologyenglish,1.2,1
org.apache.lucene.morphologyenglish,1.3,1
org.apache.lucene.morphologyenglish,1.4,1
org.apache.lucene.morphologyenglish,1.5,1
org.apache.lucene.morphologymorph,0.7,2
org.apache.lucene.morphologymorph,0.8,4
org.apache.lucene.morphologymorph,0.9,2
org.apache.lucene.morphologymorph,1.0,4
org.apache.lucene.morphologymorph,1.1,4
org.apache.lucene.morphologymorph,1.2,2
org.apache.lucene.morphologymorph,1.3,2
org.apache.lucene.morphologymorph,1.4,2
org.apache.lucene.morphologymorph,1.5,2
org.apache.lucene.morphologyrussian,0.7,1
org.apache.lucene.morphologyrussian,0.8,2
org.apache.lucene.morphologyrussian,0.9,1
org.apache.lucene.morphologyrussian,1.0,2
org.apache.lucene.morphologyrussian,1.1,2
org.apache.lucene.morphologyrussian,1.2,1
org.apache.lucene.morphologyrussian,1.3,1
org.apache.lucene.morphologyrussian,1.4,1
org.apache.lucene.morphologyrussian,1.5,1
org.apache.luceneTurkishAnalysis,6.3.0,1
org.apache.luceneTurkishAnalysis,6.6.0,1
org.apache.luceneTurkishAnalysis,6.6.1,1
org.apache.luceneTurkishAnalysis,7.3.0,1
org.apache.luceneTurkishAnalysis,7.4.0,1
org.apache.luceneTurkishAnalysis,8.2.0,1
org.apache.lucenearirang.lucene-analyzer,5.0,1
org.apache.lucenearirang.lucene-analyzer,6.0,1
org.apache.lucenelucene-5205,1.0,1
org.apache.lucenelucene-5205,5.3.1,1
org.apache.lucenelucene-5205,5.4.1,1
org.apache.lucenelucene-5205,6.0.1,1
org.apache.lucenelucene-5205,6.1.1,1
org.apache.lucenelucene-5317,1.0,1
org.apache.lucenelucene-analysis-common,9.0.0,5
org.apache.lucenelucene-analysis-common,9.1,1
org.apache.lucenelucene-analysis-common,9.1.0,3
org.apache.lucenelucene-analysis-common,9.2.0,3
org.apache.lucenelucene-analysis-common,9.3.0,7
org.apache.lucenelucene-analysis-common,9.4.0,2
org.apache.lucenelucene-analysis-common,9.4.1,2
org.apache.lucenelucene-analysis-common,9.4.2,4
org.apache.lucenelucene-analysis-common,9.5.0,5
org.apache.lucenelucene-analysis-common,9.6.0,4
org.apache.lucenelucene-analysis-common,9.7.0,5
org.apache.lucenelucene-analysis-common,9.8.0,5
org.apache.lucenelucene-analysis-common,9.9.1,4
org.apache.lucenelucene-analysis-common,9.9.2,1
org.apache.lucenelucene-analysis-common,9.10,1
org.apache.lucenelucene-analysis-common,9.10.0,6
org.apache.lucenelucene-analysis-common,9.11.0,2
org.apache.lucenelucene-analysis-common,9.11.1,2
org.apache.lucenelucene-analysis-common,9.12.0,3
org.apache.lucenelucene-analysis-common,10.0.0,3
org.apache.lucenelucene-analysis-common,10.1.0,1
org.apache.lucenelucene-analysis-icu,9.1.0,1
org.apache.lucenelucene-analysis-icu,9.2.0,1
org.apache.lucenelucene-analysis-icu,9.3.0,1
org.apache.lucenelucene-analysis-icu,9.4.0,1
org.apache.lucenelucene-analysis-icu,9.4.1,1
org.apache.lucenelucene-analysis-icu,9.4.2,1
org.apache.lucenelucene-analysis-icu,9.5.0,1
org.apache.lucenelucene-analysis-icu,9.6.0,1
org.apache.lucenelucene-analysis-icu,9.7.0,1
org.apache.lucenelucene-analysis-icu,9.8.0,1
org.apache.lucenelucene-analysis-icu,9.9.1,1
org.apache.lucenelucene-analysis-icu,9.10.0,1
org.apache.lucenelucene-analysis-icu,9.11.0,1
org.apache.lucenelucene-analysis-icu,9.12.0,1
org.apache.lucenelucene-analysis-kuromoji,9.0.0,2
org.apache.lucenelucene-analysis-kuromoji,9.1.0,1
org.apache.lucenelucene-analysis-kuromoji,9.2.0,1
org.apache.lucenelucene-analysis-kuromoji,9.3.0,2
org.apache.lucenelucene-analysis-kuromoji,9.4.1,1
org.apache.lucenelucene-analysis-kuromoji,9.4.2,2
org.apache.lucenelucene-analysis-kuromoji,9.5.0,2
org.apache.lucenelucene-analysis-kuromoji,9.6.0,1
org.apache.lucenelucene-analysis-kuromoji,9.7.0,1
org.apache.lucenelucene-analysis-kuromoji,9.8.0,2
org.apache.lucenelucene-analysis-kuromoji,9.9.1,2
org.apache.lucenelucene-analysis-kuromoji,9.9.2,1
org.apache.lucenelucene-analysis-kuromoji,9.10.0,1
org.apache.lucenelucene-analysis-kuromoji,9.11.1,1
org.apache.lucenelucene-analysis-kuromoji,9.12.0,1
org.apache.lucenelucene-analysis-morfologik,9.0.0,1
org.apache.lucenelucene-analysis-morfologik,9.3.0,1
org.apache.lucenelucene-analysis-morfologik,9.4.2,1
org.apache.lucenelucene-analysis-morfologik,9.5.0,1
org.apache.lucenelucene-analysis-morfologik,9.8.0,1
org.apache.lucenelucene-analysis-morfologik,9.9.1,1
org.apache.lucenelucene-analysis-nori,9.12.0,1
org.apache.lucenelucene-analysis-stempel,9.7.0,1
org.apache.lucenelucene-analyzers,2.4.1,1
org.apache.lucenelucene-analyzers,2.9.2,1
org.apache.lucenelucene-analyzers,2.9.3,1
org.apache.lucenelucene-analyzers,3.0.3,2
org.apache.lucenelucene-analyzers,3.1.0,1
org.apache.lucenelucene-analyzers,3.4.0,2
org.apache.lucenelucene-analyzers,3.5.0,1
org.apache.lucenelucene-analyzers,3.6.0,4
org.apache.lucenelucene-analyzers,3.6.1,3
org.apache.lucenelucene-analyzers,3.6.2,10
org.apache.lucenelucene-analyzers,5.3.0,1
org.apache.lucenelucene-analyzers-common,1.0,3
org.apache.lucenelucene-analyzers-common,4.0.0,6
org.apache.lucenelucene-analyzers-common,4.1.0,5
org.apache.lucenelucene-analyzers-common,4.2.0,1
org.apache.lucenelucene-analyzers-common,4.3.0,7
org.apache.lucenelucene-analyzers-common,4.3.1,2
org.apache.lucenelucene-analyzers-common,4.4.0,8
org.apache.lucenelucene-analyzers-common,4.5.0,2
org.apache.lucenelucene-analyzers-common,4.5.1,2
org.apache.lucenelucene-analyzers-common,4.6.0,9
org.apache.lucenelucene-analyzers-common,4.6.1,4
org.apache.lucenelucene-analyzers-common,4.7,2
org.apache.lucenelucene-analyzers-common,4.7.0,3
org.apache.lucenelucene-analyzers-common,4.7.2,2
org.apache.lucenelucene-analyzers-common,4.8.0,4
org.apache.lucenelucene-analyzers-common,4.8.1,4
org.apache.lucenelucene-analyzers-common,4.9.0,8
org.apache.lucenelucene-analyzers-common,4.10.0,3
org.apache.lucenelucene-analyzers-common,4.10.1,2
org.apache.lucenelucene-analyzers-common,4.10.2,3
org.apache.lucenelucene-analyzers-common,4.10.3,5
org.apache.lucenelucene-analyzers-common,4.10.4,12
org.apache.lucenelucene-analyzers-common,5.0.0,4
org.apache.lucenelucene-analyzers-common,5.1.0,9
org.apache.lucenelucene-analyzers-common,5.2.0,1
org.apache.lucenelucene-analyzers-common,5.2.1,5
org.apache.lucenelucene-analyzers-common,5.3.0,7
org.apache.lucenelucene-analyzers-common,5.3.1,14
org.apache.lucenelucene-analyzers-common,5.4.0,6
org.apache.lucenelucene-analyzers-common,5.4.1,6
org.apache.lucenelucene-analyzers-common,5.5.0,6
org.apache.lucenelucene-analyzers-common,5.5.1,3
org.apache.lucenelucene-analyzers-common,5.5.2,3
org.apache.lucenelucene-analyzers-common,5.5.3,4
org.apache.lucenelucene-analyzers-common,5.5.4,3
org.apache.lucenelucene-analyzers-common,5.5.5,4
org.apache.lucenelucene-analyzers-common,6.0,1
org.apache.lucenelucene-analyzers-common,6.0.0,7
org.apache.lucenelucene-analyzers-common,6.0.1,3
org.apache.lucenelucene-analyzers-common,6.1.0,7
org.apache.lucenelucene-analyzers-common,6.2.0,5
org.apache.lucenelucene-analyzers-common,6.2.1,1
org.apache.lucenelucene-analyzers-common,6.3.0,8
org.apache.lucenelucene-analyzers-common,6.4.0,6
org.apache.lucenelucene-analyzers-common,6.4.1,7
