version,count
0.7,15
0.7.1,4
0.8,12
0.9,8
1.0,20
1.1,8
1.2,4
1.3,4
1.4,4
1.5,4
2.3.2,4
2.4.0,2
2.4.1,5
2.9,2
2.9.0,2
2.9.1,2
2.9.2,2
2.9.3,2
3.0.0,3
3.0.1,4
3.0.2,2
3.0.3,9
3.1.0,5
3.3.0,2
3.4.0,7
3.5.0,8
3.6.0,58
3.6.1,52
3.6.2,20
4.0,1
4.0.0,22
4.1.0,19
4.2.0,5
4.2.1,3
4.3.0,28
4.3.1,6
4.4.0,34
4.5.0,5
4.5.1,7
4.6.0,31
4.6.1,14
4.7,12
4.7.0,19
4.7.1,2
4.7.2,13
4.8.0,25
4.8.1,21
4.9.0,29
4.10.0,16
4.10.1,9
4.10.2,16
4.10.3,26
4.10.4,46
5.0,1
5.0.0,15
5.1.0,30
5.2.0,2
5.2.1,27
5.3.0,28
5.3.1,72
5.4.0,34
5.4.1,26
5.5.0,23
5.5.1,13
5.5.2,21
5.5.3,19
5.5.4,23
5.5.5,23
6.0,3
6.0.0,44
6.0.1,14
6.1.0,34
6.1.1,1
6.2.0,19
6.2.1,8
6.3.0,45
6.4.0,44
6.4.1,37
6.4.2,32
6.5.0,36
6.5.1,32
6.6.0,49
6.6.1,43
6.6.2,31
6.6.3,13
6.6.4,13
6.6.5,26
6.6.6,7
7.0.0,10
7.1.0,37
7.2.0,34
7.2.1,28
7.3.0,22
7.3.1,31
7.4.0,36
7.5.0,42
7.6.0,26
7.7.0,26
7.7.1,18
7.7.2,12
7.7.3,12
8.0.0,35
8.1.0,30
8.1.1,13
8.2.0,34
8.3.0,13
8.3.1,6
8.4.0,24
8.4.1,9
8.5.0,4
8.5.1,7
8.5.2,20
8.6.0,32
8.6.1,4
8.6.2,28
8.6.3,24
8.7.0,47
8.8.0,28
8.8.1,19
8.8.2,32
8.9.0,53
8.10.0,34
8.10.1,32
8.11.0,32
8.11.1,40
8.11.2,40
8.11.3,6
9.0.0,32
9.1,2
9.1.0,24
9.2.0,22
9.3.0,48
9.4.0,17
9.4.1,15
9.4.2,30
9.5.0,38
9.6.0,25
9.7.0,35
9.8.0,41
9.9.1,35
9.9.2,5
9.10,2
9.10.0,53
9.11.0,27
9.11.1,8
9.12.0,11
10.0.0,20
10.1.0,4
